date,value
2001-01-31,8.25
2001-02-28,8.17
2001-03-31,8.09
2001-04-30,8.0
2001-05-31,8.02
2001-06-30,8.05
2001-07-31,8.04
2001-08-31,7.99
2001-09-30,8.1
2001-10-31,8.08
2001-11-30,7.97
2001-12-31,7.75
2002-01-31,7.41
2002-02-28,7.32
2002-03-31,7.37
2002-04-30,7.47
2002-05-31,7.68
2002-06-30,7.83
2002-07-31,7.64
2002-08-31,7.24
2002-09-30,6.6
2002-10-31,6.11
2002-11-30,5.43
2002-12-31,5.12
2003-01-31,4.98
2003-02-28,4.92
2003-03-31,5.01
2003-04-30,4.9
2003-05-31,4.72
2003-06-30,4.7
2003-07-31,4.8
2003-08-31,4.92
2003-09-30,5.02
2003-10-31,5.08
2003-11-30,5.36
2003-12-31,5.42
2004-01-31,5.16
2004-02-29,5.11
2004-03-31,5.09
2004-04-30,5.06
2004-05-31,5.13
2004-06-30,5.09
2004-07-31,5.03
2004-08-31,5.02
2004-09-30,5.04
2004-10-31,5.08
2004-11-30,4.92
2004-12-31,4.58
2005-01-31,4.04
2005-02-28,3.8
2005-03-31,3.6
2005-04-30,3.76
2005-05-31,3.54
2005-06-30,3.36
2005-07-31,3.22
2005-08-31,3.24
2005-09-30,3.13
2005-10-31,3.25
2005-11-30,3.7
2005-12-31,3.62
2006-01-31,3.59
2006-02-28,3.75
2006-03-31,4.01
2006-04-30,4.27
2006-05-31,4.5
2006-06-30,4.66
2006-07-31,5.42
2006-08-31,5.13
2006-09-30,4.79
2006-10-31,4.42
2006-11-30,4.25
2006-12-31,4.15
2007-01-31,4.25
2007-02-28,4.28
2007-03-31,4.24
2007-04-30,4.26
2007-05-31,4.4
2007-06-30,4.66
2007-07-31,4.7
2007-08-31,4.65
2007-09-30,4.61
2007-10-31,4.64
2007-11-30,4.59
2007-12-31,4.61
2008-01-31,4.48
2008-02-29,4.36
2008-03-31,4.34
2008-04-30,4.46
2008-05-31,4.52
2008-06-30,4.94
2008-07-31,5.06
2008-08-31,4.95
2008-09-30,4.98
2008-10-31,4.95
2008-11-30,4.92
2008-12-31,4.72
2009-01-31,4.69
2009-02-28,4.76
2009-03-31,4.71
2009-04-30,4.93
2009-05-31,5.03
2009-06-30,5.08
2009-07-31,5.04
2009-08-31,4.9
2009-09-30,4.65
2009-10-31,4.33
2009-11-30,4.23
2009-12-31,4.12
2010-01-31,4.11
2010-02-28,4.08
2010-03-31,4.01
2010-04-30,3.93
2010-05-31,3.82
2010-06-30,3.73
2010-07-31,3.93
2010-08-31,3.73
2010-09-30,3.59
2010-10-31,3.67
2010-11-30,3.8
2010-12-31,4.06
2011-01-31,4.16
2011-02-28,4.24
2011-03-31,4.32
2011-04-30,4.33
2011-05-31,4.33
2011-06-30,4.39
