date,value
1993-08-31,-67.0
1993-09-30,-63.6
1993-10-31,-63.3
1993-11-30,-54.7
1993-12-31,-43.4
1994-01-31,-60.8
1994-02-28,-65.0
1994-03-31,-59.4
1994-04-30,-55.1
1994-05-31,-42.6
1994-06-30,-50.4
1994-07-31,-57.6
1994-08-31,-57.7
1994-09-30,-55.7
1994-10-31,-40.7
1994-11-30,-43.9
1994-12-31,-32.8
1995-01-31,-22.4
1995-02-28,-27.3
1995-03-31,-27.9
1995-04-30,-39.5
1995-05-31,-30.4
1995-06-30,-15.9
1995-07-31,-36.5
1995-08-31,-34.0
1995-09-30,-29.0
1995-10-31,-29.0
1995-11-30,-27.7
1995-12-31,-14.1
1996-01-31,-30.8
1996-02-29,-23.9
1996-03-31,-7.1
1996-04-30,7.8
1996-05-31,-1.9
1996-06-30,1.1
1996-07-31,-0.6
1996-08-31,1.8
1996-09-30,-8.0
1996-10-31,4.5
1996-11-30,0.5
1996-12-31,1.3
1997-01-31,4.2
1997-02-28,7.9
1997-03-31,21.9
1997-04-30,9.4
1997-05-31,4.2
1997-06-30,7.5
1997-07-31,10.6
1997-08-31,3.4
1997-09-30,-2.2
1997-10-31,-6.0
1997-11-30,-4.1
1997-12-31,-5.8
1998-01-31,-14.6
1998-02-28,-9.1
1998-03-31,-11.5
1998-04-30,-8.7
1998-05-31,-11.0
1998-06-30,-2.2
1998-07-31,0.7
1998-08-31,-7.8
1998-09-30,-13.6
1998-10-31,-19.9
1998-11-30,-28.9
1998-12-31,-50.4
1999-01-31,-46.5
1999-02-28,-68.7
1999-03-31,-76.4
1999-04-30,-70.5
1999-05-31,-70.8
1999-06-30,-73.8
1999-07-31,-78.1
1999-08-31,-75.1
1999-09-30,-66.8
1999-10-31,-64.5
1999-11-30,-56.8
1999-12-31,-54.5
2000-01-31,-49.3
2000-02-29,-44.0
2000-03-31,-53.0
2000-04-30,-53.5
2000-05-31,-49.1
2000-06-30,-55.3
2000-07-31,-53.4
2000-08-31,-46.1
2000-09-30,-40.6
2000-10-31,-37.9
2000-11-30,-38.6
2000-12-31,-33.3
2001-01-31,-35.7
2001-02-28,-35.6
2001-03-31,-32.6
2001-04-30,-35.7
2001-05-31,-44.2
2001-06-30,-46.3
2001-07-31,-44.8
2001-08-31,-38.4
2001-09-30,-39.8
2001-10-31,-38.1
2001-11-30,-32.1
2001-12-31,-33.6
2002-01-31,-30.9
2002-02-28,-22.3
2002-03-31,-23.8
2002-04-30,-24.8
2002-05-31,-23.0
2002-06-30,-20.6
2002-07-31,-15.6
2002-08-31,-20.3
2002-09-30,-17.1
2002-10-31,-22.3
2002-11-30,-20.0
2002-12-31,-18.0
2003-01-31,-20.3
2003-02-28,-15.2
2003-03-31,-19.8
2003-04-30,-12.3
2003-05-31,-14.9
2003-06-30,-19.0
2003-07-31,-23.4
2003-08-31,-22.3
2003-09-30,-17.5
2003-10-31,-18.9
2003-11-30,-18.6
2003-12-31,-26.0
2004-01-31,-25.7
2004-02-29,-31.0
2004-03-31,-27.3
2004-04-30,-23.4
2004-05-31,-21.6
2004-06-30,-16.8
2004-07-31,-21.3
2004-08-31,-18.0
2004-09-30,-14.1
2004-10-31,-13.6
2004-11-30,-24.8
2004-12-31,-20.3
2005-01-31,-10.1
2005-02-28,-15.1
2005-03-31,-10.5
2005-04-30,-7.3
2005-05-31,-9.9
2005-06-30,-8.1
2005-07-31,-8.7
2005-08-31,-14.9
2005-09-30,-9.6
2005-10-31,-12.2
2005-11-30,-8.9
2005-12-31,-10.0
2006-01-31,-11.4
2006-02-28,-11.3
2006-03-31,-6.6
2006-04-30,2.1
2006-05-31,1.2
2006-06-30,2.8
2006-07-31,5.1
2006-08-31,1.4
2006-09-30,0.2
2006-10-31,-7.0
2006-11-30,-7.6
2006-12-31,-3.7
2007-01-31,-5.0
2007-02-28,-3.8
2007-03-31,-5.6
2007-04-30,-6.7
2007-05-31,-8.4
2007-06-30,-13.4
2007-07-31,-7.1
2007-08-31,3.8
2007-09-30,-4.1
2007-10-31,-1.4
2007-11-30,-3.0
2007-12-31,-7.8
2008-01-31,-12.2
2008-02-29,-4.2
2008-03-31,1.1
2008-04-30,-5.9
2008-05-31,-4.6
2008-06-30,0.6
2008-07-31,-1.7
2008-08-31,-3.0
2008-09-30,-3.3
2008-10-31,-15.3
2008-11-30,-16.4
2008-12-31,-16.4
2009-01-31,-16.3
2009-02-28,-32.5
2009-03-31,-38.5
2009-04-30,-49.3
2009-05-31,-50.8
2009-06-30,-50.8
2009-07-31,-47.6
2009-08-31,-45.4
2009-09-30,-48.1
2009-10-31,-46.4
2009-11-30,-45.1
2009-12-31,-42.1
2010-01-31,-46.3
2010-02-28,-40.5
2010-03-31,-39.9
2010-04-30,-40.5
2010-05-31,-41.5
2010-06-30,-36.1
2010-07-31,-43.2
2010-08-31,-41.3
2010-09-30,-41.8
2010-10-31,-39.6
2010-11-30,-39.2
2010-12-31,-38.4
2011-01-31,-42.2
2011-02-28,-41.3
2011-03-31,-45.1
2011-04-30,-46.5
2011-05-31,-46.1
2011-06-30,-45.7
2011-07-31,-47.0
2011-08-31,-45.9
2011-09-30,-45.2
2011-10-31,-37.1
2011-11-30,-34.5
2011-12-31,-38.5
2012-01-31,-40.7
2012-02-29,-48.3
2012-03-31,-47.7
2012-04-30,-38.3
2012-05-31,-37.8
2012-06-30,-37.9
2012-07-31,-39.3
2012-08-31,-42.6
2012-09-30,-47.1
2012-10-31,-56.5
2012-11-30,-57.4
2012-12-31,-57.3
2013-01-31,-54.1
2013-02-28,-54.1
2013-03-31,-52.0
2013-04-30,-54.5
2013-05-31,-52.4
2013-06-30,-47.9
2013-07-31,-44.5
2013-08-31,-46.1
2013-09-30,-48.4
2013-10-31,-44.8
2013-11-30,-42.4
2013-12-31,-42.9
2014-01-31,-33.7
2014-02-28,-23.0
2014-03-31,-23.7
2014-04-30,-30.8
2014-05-31,-31.0
2014-06-30,-38.9
2014-07-31,-35.3
2014-08-31,-26.5
2014-09-30,-21.2
2014-10-31,-22.5
2014-11-30,-19.6
2014-12-31,-20.2
2015-01-31,-18.2
2015-02-28,-19.6
2015-03-31,-15.4
2015-04-30,-12.7
2015-05-31,-8.6
2015-06-30,-8.2
2015-07-31,-4.6
2015-08-31,-9.8
2015-09-30,-2.8
2015-10-31,0.3
2015-11-30,-3.4
2015-12-31,-11.3
2016-01-31,-16.9
2016-02-29,-15.0
2016-03-31,-17.2
2016-04-30,-16.1
2016-05-31,-8.7
2016-06-30,-13.1
2016-07-31,-13.9
2016-08-31,-9.0
2016-09-30,-10.0
2016-10-31,-14.6
2016-11-30,-11.5
2016-12-31,-4.3
2017-01-31,-5.9
2017-02-28,-7.6
2017-03-31,-5.3
2017-04-30,-5.5
2017-05-31,-5.6
2017-06-30,-5.3
2017-07-31,-4.6
2017-08-31,-3.3
2017-09-30,-1.3
2017-10-31,1.5
2017-11-30,-3.6
2017-12-31,-4.1
2018-01-31,-5.4
2018-02-28,-2.8
2018-03-31,-6.3
2018-04-30,-2.0
2018-05-31,-1.5
2018-06-30,-0.1
2018-07-31,-3.0
2018-08-31,-2.0
2018-09-30,-10.7
2018-10-31,-9.6
2018-11-30,-7.1
2018-12-31,-8.7
2019-01-31,-13.3
2019-02-28,-12.5
2019-03-31,-15.0
2019-04-30,-17.2
2019-05-31,-20.0
2019-06-30,-23.9
2019-07-31,-17.0
2019-08-31,-14.4
2019-09-30,-12.4
2019-10-31,-6.2
2019-11-30,-7.2
2019-12-31,-8.1
2020-01-31,-6.7
2020-02-29,-9.0
2020-03-31,-3.7
2020-04-30,-53.0
2020-05-31,-52.8
2020-06-30,-41.4
2020-07-31,-38.2
2020-08-31,-39.8
2020-09-30,-42.0
2020-10-31,-47.2
2020-11-30,-44.7
2020-12-31,-43.5
2021-01-31,-45.9
2021-02-28,-42.3
2021-03-31,-42.3
2021-04-30,-27.1
2021-05-31,-20.6
2021-06-30,-17.2
2021-07-31,-20.0
2021-08-31,-18.2
2021-09-30,-12.2
2021-10-31,-12.8
2021-11-30,-13.2
2021-12-31,-15.0
2022-01-31,-12.0
2022-02-28,-7.2
2022-03-31,-11.2
2022-04-30,-22.3
2022-05-31,-16.9
2022-06-30,-18.4
2022-07-31,-7.2
2022-08-31,-14.4
2022-09-30,-13.4
2022-10-31,-10.7
2022-11-30,-5.1
2022-12-31,-3.9
2023-01-31,-2.0
2023-02-28,-5.6
2023-03-31,-5.8
2023-04-30,-2.2
2023-05-31,-7.0
