date,value
2000-01-31,81.5
2000-02-29,81.9
2000-03-31,79.6
2000-04-30,81.0
2000-05-31,82.1
2000-06-30,84.7
2000-07-31,85.4
2000-08-31,85.8
2000-09-30,88.8
2000-10-31,85.3
2000-11-30,86.6
2000-12-31,86.9
2001-01-31,87.9
2001-02-28,91.8
2001-03-31,88.6
2001-04-30,85.4
2001-05-31,84.8
2001-06-30,88.1
2001-07-31,84.5
2001-08-31,85.1
2001-09-30,82.7
2001-10-31,82.9
2001-11-30,82.6
2001-12-31,81.5
2002-01-31,84.7
2002-02-28,87.1
2002-03-31,90.3
2002-04-30,90.1
2002-05-31,91.6
2002-06-30,87.7
2002-07-31,88.8
2002-08-31,86.7
2002-09-30,84.8
2002-10-31,88.0
2002-11-30,89.2
2002-12-31,89.2
2003-01-31,89.8
2003-02-28,88.7
2003-03-31,93.0
2003-04-30,90.1
2003-05-31,91.2
2003-06-30,91.4
2003-07-31,92.8
2003-08-31,96.1
2003-09-30,95.8
2003-10-31,95.0
2003-11-30,95.9
2003-12-31,96.3
2004-01-31,91.6
2004-02-29,93.3
2004-03-31,94.0
2004-04-30,93.4
2004-05-31,93.7
2004-06-30,90.5
2004-07-31,95.0
2004-08-31,97.2
2004-09-30,99.2
2004-10-31,110.4
2004-11-30,104.0
2004-12-31,112.7
2005-01-31,113.2
2005-02-28,99.5
2005-03-31,103.6
2005-04-30,108.6
2005-05-31,108.0
2005-06-30,114.0
2005-07-31,113.9
2005-08-31,111.1
2005-09-30,117.9
2005-10-31,122.4
2005-11-30,120.4
2005-12-31,114.3
2006-01-31,117.2
2006-02-28,119.1
2006-03-31,121.3
2006-04-30,124.4
2006-05-31,128.1
2006-06-30,133.7
2006-07-31,133.6
2006-08-31,135.6
2006-09-30,133.6
2006-10-31,133.8
2006-11-30,136.9
2006-12-31,138.5
2007-01-31,143.4
2007-02-28,148.2
2007-03-31,142.1
2007-04-30,141.1
2007-05-31,139.8
2007-06-30,135.4
2007-07-31,137.0
2007-08-31,133.2
2007-09-30,140.0
2007-10-31,133.8
2007-11-30,132.6
2007-12-31,140.6
2008-01-31,165.5
2008-02-29,167.0
2008-03-31,157.9
2008-04-30,157.8
2008-05-31,150.6
2008-06-30,145.4
2008-07-31,145.3
2008-08-31,144.1
2008-09-30,160.1
2008-10-31,156.8
2008-11-30,152.5
2008-12-31,152.2
2009-01-31,129.5
2009-02-28,152.2
2009-03-31,145.5
2009-04-30,139.7
2009-05-31,146.0
2009-06-30,141.8
2009-07-31,136.0
2009-08-31,141.7
2009-09-30,134.7
2009-10-31,123.6
2009-11-30,131.4
2009-12-31,122.2
2010-01-31,123.7
2010-02-28,125.4
2010-03-31,126.0
2010-04-30,138.4
2010-05-31,132.9
2010-06-30,129.5
2010-07-31,132.6
2010-08-31,135.6
2010-09-30,124.7
2010-10-31,128.7
2010-11-30,128.2
2010-12-31,120.0
2011-01-31,124.5
2011-02-28,117.8
2011-03-31,127.4
2011-04-30,130.4
2011-05-31,124.0
2011-06-30,130.0
