date,value
1980-01-31,101.1
1980-02-29,102.2
1980-03-31,100.3
1980-04-30,93.3
1980-05-31,87.3
1980-06-30,80.8
1980-07-31,81.7
1980-08-31,76.9
1980-09-30,75.7
1980-10-31,75.3
1980-11-30,69.9
1980-12-31,70.9
1981-01-31,67.9
1981-02-28,69.0
1981-03-31,67.5
1981-04-30,66.0
1981-05-31,66.2
1981-06-30,68.4
1981-07-31,68.3
1981-08-31,68.2
1981-09-30,67.2
1981-10-31,68.1
1981-11-30,68.9
1981-12-31,70.3
1982-01-31,69.0
1982-02-28,66.8
1982-03-31,67.4
1982-04-30,68.0
1982-05-31,65.2
1982-06-30,62.5
1982-07-31,62.1
1982-08-31,57.2
1982-09-30,54.5
1982-10-31,57.2
1982-11-30,59.7
1982-12-31,61.5
1983-01-31,66.7
1983-02-28,67.8
1983-03-31,71.4
1983-04-30,73.8
1983-05-31,74.7
1983-06-30,76.6
1983-07-31,76.1
1983-08-31,79.7
1983-09-30,82.5
1983-10-31,82.8
1983-11-30,84.7
1983-12-31,87.9
1984-01-31,86.9
1984-02-29,88.2
1984-03-31,87.7
1984-04-30,89.9
1984-05-31,88.8
1984-06-30,88.9
1984-07-31,90.6
1984-08-31,91.0
1984-09-30,89.5
1984-10-31,89.4
1984-11-30,91.0
1984-12-31,89.9
1985-01-31,93.2
1985-02-28,91.7
1985-03-31,89.6
1985-04-30,90.8
1985-05-31,92.0
1985-06-30,91.5
1985-07-31,91.9
1985-08-31,92.8
1985-09-30,95.0
1985-10-31,96.2
1985-11-30,96.7
1985-12-31,95.7
1986-01-31,97.3
1986-02-28,98.2
1986-03-31,98.3
1986-04-30,97.8
1986-05-31,98.0
1986-06-30,99.9
1986-07-31,100.1
1986-08-31,101.1
1986-09-30,100.8
1986-10-31,100.3
1986-11-30,100.3
1986-12-31,100.8
1987-01-31,99.8
1987-02-28,98.3
1987-03-31,99.8
1987-04-30,100.2
1987-05-31,100.7
1987-06-30,99.3
1987-07-31,100.4
1987-08-31,102.2
1987-09-30,103.7
1987-10-31,103.7
1987-11-30,102.8
1987-12-31,102.6
1988-01-31,103.4
1988-02-29,103.1
1988-03-31,104.8
1988-04-30,106.0
1988-05-31,106.0
1988-06-30,107.9
1988-07-31,107.8
