date,value
2002-01-31,27.5
2002-02-28,28.5
2002-03-31,29.3
2002-04-30,29.6
2002-05-31,27.9
2002-06-30,30.7
2002-07-31,31.7
2002-08-31,30.4
2002-09-30,30.7
2002-10-31,29.2
2002-11-30,30.3
2002-12-31,31.7
2003-01-31,31.4
2003-02-28,32.6
2003-03-31,33.0
2003-04-30,32.6
2003-05-31,35.5
2003-06-30,35.5
2003-07-31,36.4
2003-08-31,37.4
2003-09-30,34.7
2003-10-31,35.8
2003-11-30,37.3
2003-12-31,39.4
2004-01-31,35.2
2004-02-29,36.5
2004-03-31,36.0
2004-04-30,41.5
2004-05-31,37.7
2004-06-30,35.8
2004-07-31,34.9
2004-08-31,34.2
2004-09-30,35.6
2004-10-31,35.8
2004-11-30,34.9
2004-12-31,34.3
2005-01-31,36.6
2005-02-28,36.0
2005-03-31,35.8
2005-04-30,37.1
2005-05-31,37.5
2005-06-30,39.1
2005-07-31,39.7
2005-08-31,40.1
2005-09-30,41.2
2005-10-31,41.2
2005-11-30,43.4
2005-12-31,43.3
2006-01-31,44.2
2006-02-28,44.5
2006-03-31,46.0
2006-04-30,46.2
2006-05-31,48.2
2006-06-30,49.3
2006-07-31,50.4
2006-08-31,53.6
2006-09-30,52.9
2006-10-31,55.7
2006-11-30,55.9
2006-12-31,58.7
2007-01-31,62.5
2007-02-28,61.2
2007-03-31,60.7
2007-04-30,62.3
2007-05-31,63.5
2007-06-30,60.7
2007-07-31,65.6
2007-08-31,63.5
2007-09-30,66.9
2007-10-31,67.6
2007-11-30,68.8
2007-12-31,67.8
2008-01-31,71.1
2008-02-29,73.1
2008-03-31,71.5
2008-04-30,71.6
2008-05-31,71.4
2008-06-30,74.7
2008-07-31,73.4
2008-08-31,72.0
2008-09-30,72.5
2008-10-31,71.9
2008-11-30,67.7
2008-12-31,60.0
2009-01-31,57.6
2009-02-28,54.8
2009-03-31,58.6
2009-04-30,62.7
2009-05-31,57.4
2009-06-30,58.6
2009-07-31,59.5
2009-08-31,64.4
2009-09-30,64.2
2009-10-31,65.8
2009-11-30,66.5
2009-12-31,66.2
2010-01-31,66.3
2010-02-28,69.6
2010-03-31,72.3
2010-04-30,72.1
2010-05-31,74.5
2010-06-30,73.2
2010-07-31,73.1
2010-08-31,75.6
2010-09-30,76.8
2010-10-31,81.3
2010-11-30,80.5
2010-12-31,80.4
2011-01-31,80.6
2011-02-28,80.5
2011-03-31,80.9
2011-04-30,80.4
2011-05-31,82.5
2011-06-30,81.1
2011-07-31,80.8
2011-08-31,83.3
2011-09-30,82.6
2011-10-31,86.7
