date,value
1995-06-30,1.6
1995-09-30,0.4
1995-12-31,1.8
1996-03-31,1.6
1996-06-30,1.0
1996-09-30,2.4
1996-12-31,1.9
1997-03-31,0.8
1997-06-30,1.4
1997-09-30,1.6
1997-12-31,-0.6
1998-03-31,1.8
1998-06-30,-0.1
1998-09-30,-0.9
1998-12-31,7.6
1999-03-31,-3.5
1999-06-30,-1.8
1999-09-30,-0.7
1999-12-31,-0.5
2000-03-31,1.0
2000-06-30,0.9
2000-09-30,0.5
2000-12-31,0.5
2001-03-31,0.6
2001-06-30,1.0
2001-09-30,0.3
2001-12-31,2.2
2002-03-31,0.4
2002-06-30,0.9
2002-09-30,2.2
2002-12-31,0.5
2003-03-31,1.5
2003-06-30,1.4
2003-09-30,0.3
2003-12-31,1.7
2004-03-31,1.5
2004-06-30,0.7
2004-09-30,2.3
2004-12-31,1.5
2005-03-31,1.1
2005-06-30,2.1
2005-09-30,1.7
2005-12-31,1.5
2006-03-31,2.6
2006-06-30,2.4
2006-09-30,2.0
2006-12-31,2.9
2007-03-31,2.0
2007-06-30,2.5
2007-09-30,2.3
2007-12-31,6.3
2008-03-31,-2.9
2008-06-30,1.2
2008-09-30,1.4
2008-12-31,1.2
2009-03-31,-9.7
2009-06-30,1.7
2009-09-30,1.8
2009-12-31,2.1
2010-03-31,2.1
2010-06-30,1.2
2010-09-30,1.2
2010-12-31,0.7
2011-03-31,0.2
2011-06-30,0.7
2011-09-30,0.5
2011-12-31,0.8
2012-03-31,0.3
2012-06-30,0.2
2012-09-30,0.1
2012-12-31,-0.1
2013-03-31,0.0
2013-06-30,0.3
2013-09-30,0.5
2013-12-31,0.6
2014-03-31,0.6
2014-06-30,0.8
2014-09-30,1.0
2014-12-31,1.1
2015-03-31,1.9
2015-06-30,1.2
2015-09-30,1.2
2015-12-31,0.7
2016-03-31,0.0
2016-06-30,0.2
2016-09-30,0.4
2016-12-31,0.6
2017-03-31,0.7
2017-06-30,0.9
2017-09-30,0.8
2017-12-31,1.2
2018-03-31,1.0
2018-06-30,1.2
2018-09-30,1.0
2018-12-31,0.5
2019-03-31,0.7
2019-06-30,0.2
2019-09-30,0.3
2019-12-31,0.6
2020-03-31,-2.3
2020-06-30,-7.7
2020-09-30,9.9
2020-12-31,0.8
2021-03-31,1.1
2021-06-30,1.0
2021-09-30,0.6
2021-12-31,0.3
2022-03-31,-0.3
2022-06-30,-0.3
2022-09-30,0.2
2022-12-31,0.4
2023-03-31,0.6
2023-06-30,0.9
2023-09-30,0.8
2023-12-31,0.5
2024-03-31,0.6
2024-06-30,0.3
2024-09-30,0.1
2024-12-31,0.3
2025-03-31,0.1
2025-06-30,0.2
2025-09-30,0.3
2025-12-31,0.2
2026-03-31,0.2
