date,value
1996-12-31,45.01
1997-01-31,45.48
1997-02-28,45.7
1997-03-31,45.95
1997-04-30,46.12
1997-05-31,46.14
1997-06-30,46.29
1997-07-31,46.32
1997-08-31,46.8
1997-09-30,46.87
1997-10-31,47.26
1997-11-30,47.56
1997-12-31,47.81
1998-01-31,48.72
1998-02-28,49.07
1998-03-31,49.19
1998-04-30,49.38
1998-05-31,49.68
1998-06-30,49.74
1998-07-31,49.55
1998-08-31,49.43
1998-09-30,49.64
1998-10-31,50.23
1998-11-30,50.45
1998-12-31,50.55
1999-01-31,52.03
1999-02-28,52.43
1999-03-31,52.57
1999-04-30,52.82
1999-05-31,52.89
1999-06-30,53.16
1999-07-31,56.27
1999-08-31,56.53
1999-09-30,56.89
1999-10-31,57.19
1999-11-30,57.41
1999-12-31,57.66
2000-01-31,59.14
2000-02-29,61.17
2000-03-31,61.4
2000-04-30,61.36
2000-05-31,61.53
2000-06-30,61.49
2000-07-31,61.48
2000-08-31,61.53
2000-09-30,61.91
2000-10-31,62.15
2000-11-30,62.37
2000-12-31,62.51
2001-01-31,63.57
2001-02-28,65.05
2001-03-31,65.45
2001-04-30,65.73
2001-05-31,66.05
2001-06-30,66.13
2001-07-31,66.38
2001-08-31,66.26
2001-09-30,66.45
2001-10-31,66.45
2001-11-30,66.61
2001-12-31,66.7
2002-01-31,67.68
2002-02-28,67.89
2002-03-31,67.91
2002-04-30,68.16
2002-05-31,68.23
2002-06-30,67.97
2002-07-31,67.82
2002-08-31,68.25
2002-09-30,68.53
2002-10-31,68.62
2002-11-30,68.62
2002-12-31,68.85
2003-01-31,72.5
2003-02-28,72.91
2003-03-31,73.36
2003-04-30,73.4
2003-05-31,73.44
2003-06-30,73.62
2003-07-31,73.59
2003-08-31,74.4
2003-09-30,74.88
2003-10-31,75.02
2003-11-30,75.15
2003-12-31,75.29
2004-01-31,78.52
2004-02-29,79.04
2004-03-31,79.22
2004-04-30,79.22
2004-05-31,79.49
2004-06-30,79.64
2004-07-31,79.78
2004-08-31,79.69
2004-09-30,79.81
2004-10-31,79.94
2004-11-30,79.82
2004-12-31,79.72
2005-01-31,81.05
2005-02-28,81.16
2005-03-31,81.13
2005-04-30,81.31
2005-05-31,81.41
2005-06-30,81.73
2005-07-31,81.47
2005-08-31,81.39
2005-09-30,81.62
2005-10-31,82.72
2005-11-30,82.73
2005-12-31,82.77
2006-01-31,84.35
2006-02-28,84.62
2006-03-31,84.63
2006-04-30,84.89
2006-05-31,85.31
2006-06-30,85.43
2006-07-31,85.53
2006-08-31,85.44
2006-09-30,85.27
2006-10-31,85.29
2006-11-30,85.74
2006-12-31,85.8
2007-01-31,86.23
2007-02-28,86.31
2007-03-31,86.36
2007-04-30,86.6
2007-05-31,86.62
2007-06-30,86.68
2007-07-31,86.58
2007-08-31,86.5
2007-09-30,86.75
2007-10-31,87.35
2007-11-30,87.7
2007-12-31,87.94
2008-01-31,88.97
2008-02-29,89.23
2008-03-31,89.49
2008-04-30,89.76
2008-05-31,90.1
2008-06-30,90.42
2008-07-31,90.41
2008-08-31,90.35
2008-09-30,90.7
2008-10-31,91.01
2008-11-30,91.12
2008-12-31,91.06
2009-01-31,91.38
2009-02-28,91.36
2009-03-31,91.11
2009-04-30,91.01
2009-05-31,91.07
2009-06-30,91.08
2009-07-31,90.97
2009-08-31,90.78
2009-09-30,90.74
2009-10-31,90.89
2009-11-30,91.15
2009-12-31,91.1
2010-01-31,91.21
2010-02-28,91.22
2010-03-31,91.34
2010-04-30,91.67
2010-05-31,91.73
2010-06-30,91.72
2010-07-31,91.84
2010-08-31,91.74
2010-09-30,91.73
2010-10-31,91.76
2010-11-30,92.02
2010-12-31,92.25
2011-01-31,94.16
2011-02-28,94.42
2011-03-31,94.8
2011-04-30,95.25
2011-05-31,95.56
2011-06-30,95.51
2011-07-31,95.35
2011-08-31,95.47
2011-09-30,95.74
2011-10-31,95.95
2011-11-30,96.44
2011-12-31,96.48
2012-01-31,97.97
2012-02-29,98.19
2012-03-31,98.5
2012-04-30,98.74
2012-05-31,98.84
2012-06-30,99.07
2012-07-31,99.01
2012-08-31,99.06
2012-09-30,99.34
2012-10-31,99.73
2012-11-30,99.8
2012-12-31,99.73
2013-01-31,100.43
2013-02-28,100.4
2013-03-31,100.42
2013-04-30,100.46
2013-05-31,100.57
2013-06-30,100.72
2013-07-31,100.64
2013-08-31,100.46
2013-09-30,100.43
2013-10-31,100.44
2013-11-30,100.28
2013-12-31,100.12
2014-01-31,100.38
2014-02-28,100.28
2014-03-31,100.26
2014-04-30,100.26
2014-05-31,100.53
2014-06-30,100.64
2014-07-31,100.49
2014-08-31,100.28
2014-09-30,100.34
2014-10-31,100.43
2014-11-30,100.26
2014-12-31,99.99
2015-01-31,99.87
2015-02-28,99.68
2015-03-31,99.87
2015-04-30,100.13
2015-05-31,100.44
2015-06-30,100.55
2015-07-31,100.27
2015-08-31,100.06
2015-09-30,99.82
2015-10-31,99.9
2015-11-30,99.88
2015-12-31,99.53
2016-01-31,99.24
2016-02-29,99.37
2016-03-31,99.38
2016-04-30,99.74
2016-05-31,99.69
2016-06-30,99.82
2016-07-31,99.41
2016-08-31,99.27
2016-09-30,99.3
2016-10-31,99.58
2016-11-30,99.67
2016-12-31,99.75
2017-01-31,100.02
2017-02-28,100.55
2017-03-31,100.42
2017-04-30,100.56
2017-05-31,100.82
2017-06-30,100.82
2017-07-31,100.87
2017-08-31,100.88
2017-09-30,101.05
2017-10-31,101.4
2017-11-30,101.73
2017-12-31,101.71
2018-01-31,102.59
2018-02-28,102.75
2018-03-31,102.95
2018-04-30,103.56
2018-05-31,103.57
2018-06-30,103.7
2018-07-31,103.53
2018-08-31,103.77
2018-09-30,103.81
2018-10-31,103.9
2018-11-30,103.76
2018-12-31,103.61
2019-01-31,104.86
2019-02-28,105.09
2019-03-31,105.78
2019-04-30,106.01
2019-05-31,106.39
2019-06-30,106.49
2019-07-31,106.64
2019-08-31,106.87
2019-09-30,106.97
2019-10-31,106.87
2019-11-30,107.05
2019-12-31,106.89
2020-01-31,108.23
2020-02-29,108.37
2020-03-31,108.34
2020-04-30,108.26
2020-05-31,108.58
2020-06-30,108.46
2020-07-31,108.54
2020-08-31,108.41
2020-09-30,108.45
2020-10-31,108.61
2020-11-30,108.71
2020-12-31,108.65
2021-01-31,109.0
2021-02-28,109.31
2021-03-31,109.93
2021-04-30,110.1
2021-05-31,110.78
2021-06-30,111.19
2021-07-31,111.7
2021-08-31,111.97
2021-09-30,112.82
2021-10-31,113.4
2021-11-30,113.96
2021-12-31,114.15
2022-01-31,117.37
2022-02-28,118.36
2022-03-31,120.43
2022-04-30,122.06
2022-05-31,123.82
2022-06-30,125.21
2022-07-31,126.02
2022-08-31,126.95
2022-09-30,128.14
2022-10-31,129.81
2022-11-30,131.12
2022-12-31,131.31
2023-01-31,135.05
2023-02-28,136.59
2023-03-31,138.31
2023-04-30,139.16
2023-05-31,139.07
2023-06-30,139.39
2023-07-31,139.06
2023-08-31,139.18
2023-09-30,139.62
2023-10-31,139.89
2023-11-30,140.14
2023-12-31,139.96
2024-01-31,141.02
2024-02-29,141.82
2024-03-31,142.0
2024-04-30,142.53
2024-05-31,142.72
2024-06-30,142.79
2024-07-31,143.24
2024-08-31,143.65
2024-09-30,143.73
2024-10-31,144.82
2024-11-30,145.18
2024-12-31,144.48
2025-01-31,147.01
2025-02-28,147.59
2025-03-31,148.01
2025-04-30,148.15
2025-05-31,148.92
2025-06-30,149.32
2025-07-31,149.85
2025-08-31,150.0
2025-09-30,150.29
2025-10-31,150.44
2025-11-30,150.86
2025-12-31,150.36
2026-01-31,153.31
2026-02-28,153.49
2026-03-31,153.51
2026-04-30,154.27
2026-05-31,154.83
