date,value
2002-01-31,37.2
2002-02-28,37.0
2002-03-31,37.8
2002-04-30,36.0
2002-05-31,37.5
2002-06-30,38.5
2002-07-31,39.5
2002-08-31,37.9
2002-09-30,39.5
2002-10-31,40.0
2002-11-30,40.1
2002-12-31,41.3
2003-01-31,39.6
2003-02-28,41.5
2003-03-31,41.2
2003-04-30,42.3
2003-05-31,42.3
2003-06-30,42.5
2003-07-31,45.1
2003-08-31,44.5
2003-09-30,43.0
2003-10-31,43.0
2003-11-30,45.0
2003-12-31,46.6
2004-01-31,43.5
2004-02-29,44.9
2004-03-31,45.7
2004-04-30,50.3
2004-05-31,48.9
2004-06-30,48.4
2004-07-31,47.3
2004-08-31,48.8
2004-09-30,48.0
2004-10-31,49.0
2004-11-30,48.1
2004-12-31,47.1
2005-01-31,50.5
2005-02-28,50.4
2005-03-31,50.8
2005-04-30,51.1
2005-05-31,51.6
2005-06-30,51.6
2005-07-31,50.8
2005-08-31,50.4
2005-09-30,52.5
2005-10-31,54.3
2005-11-30,53.7
2005-12-31,64.3
2006-01-31,59.9
2006-02-28,60.9
2006-03-31,58.7
2006-04-30,60.0
2006-05-31,61.7
2006-06-30,62.2
2006-07-31,63.0
2006-08-31,66.4
2006-09-30,69.1
2006-10-31,69.9
2006-11-30,70.9
2006-12-31,72.5
2007-01-31,71.4
2007-02-28,73.3
2007-03-31,74.5
2007-04-30,72.7
2007-05-31,77.8
2007-06-30,76.4
2007-07-31,78.3
2007-08-31,77.2
2007-09-30,77.9
2007-10-31,78.1
2007-11-30,82.2
2007-12-31,81.1
2008-01-31,85.1
2008-02-29,84.3
2008-03-31,83.8
2008-04-30,87.6
2008-05-31,81.5
2008-06-30,85.5
2008-07-31,83.3
2008-08-31,80.0
2008-09-30,81.7
2008-10-31,79.9
2008-11-30,77.0
2008-12-31,69.0
2009-01-31,69.9
2009-02-28,65.7
2009-03-31,66.9
2009-04-30,65.0
2009-05-31,65.4
2009-06-30,67.8
2009-07-31,67.2
2009-08-31,71.6
2009-09-30,71.7
2009-10-31,73.4
2009-11-30,74.9
2009-12-31,74.1
2010-01-31,77.7
2010-02-28,78.1
2010-03-31,78.6
2010-04-30,78.6
2010-05-31,82.0
2010-06-30,81.7
2010-07-31,83.0
2010-08-31,86.0
2010-09-30,86.2
2010-10-31,87.6
2010-11-30,85.3
2010-12-31,88.4
2011-01-31,88.4
2011-02-28,88.8
2011-03-31,90.2
2011-04-30,89.6
2011-05-31,99.1
2011-06-30,87.2
2011-07-31,88.8
2011-08-31,88.0
2011-09-30,87.0
2011-10-31,89.6
2011-11-30,92.1
2011-12-31,90.8
2012-01-31,90.3
2012-02-29,89.4
2012-03-31,92.7
2012-04-30,95.1
2012-05-31,93.0
2012-06-30,93.0
2012-07-31,95.9
2012-08-31,96.8
2012-09-30,93.2
2012-10-31,92.6
2012-11-30,90.3
2012-12-31,88.6
2013-01-31,92.6
2013-02-28,92.9
2013-03-31,94.8
2013-04-30,92.4
2013-05-31,92.8
2013-06-30,97.2
2013-07-31,95.4
2013-08-31,95.7
2013-09-30,100.7
2013-10-31,96.7
2013-11-30,100.3
2013-12-31,101.1
2014-01-31,103.7
2014-02-28,103.9
2014-03-31,104.4
2014-04-30,104.7
2014-05-31,102.4
2014-06-30,102.8
2014-07-31,104.6
2014-08-31,103.2
2014-09-30,103.5
2014-10-31,102.6
2014-11-30,102.4
2014-12-31,103.2
2015-01-31,101.3
2015-02-28,102.4
2015-03-31,105.4
2015-04-30,99.1
2015-05-31,100.6
2015-06-30,104.1
2015-07-31,106.9
2015-08-31,102.9
2015-09-30,105.6
2015-10-31,104.0
2015-11-30,109.2
2015-12-31,102.2
2016-01-31,99.5
2016-02-29,103.2
2016-03-31,98.1
2016-04-30,105.6
2016-05-31,107.8
2016-06-30,103.0
2016-07-31,97.0
2016-08-31,104.4
2016-09-30,101.3
2016-10-31,103.5
2016-11-30,101.6
2016-12-31,101.4
2017-01-31,103.3
2017-02-28,104.3
2017-03-31,104.3
2017-04-30,103.6
2017-05-31,103.8
2017-06-30,99.2
2017-07-31,103.8
2017-08-31,107.5
2017-09-30,106.3
2017-10-31,107.6
2017-11-30,105.5
2017-12-31,107.5
2018-01-31,107.0
2018-02-28,107.6
2018-03-31,106.0
