date,value
1991-01-31,75.5
1991-02-28,72.3
1991-03-31,71.0
1991-04-30,70.7
1991-05-31,69.0
1991-06-30,72.1
1991-07-31,69.1
1991-08-31,72.7
1991-09-30,69.5
1991-10-31,70.8
1991-11-30,73.7
1991-12-31,71.6
1992-01-31,76.7
1992-02-29,77.3
1992-03-31,74.1
1992-04-30,72.9
1992-05-31,74.3
1992-06-30,71.4
1992-07-31,71.0
1992-08-31,69.7
1992-09-30,72.3
1992-10-31,72.5
1992-11-30,67.9
1992-12-31,61.6
1993-01-31,56.7
1993-02-28,57.8
1993-03-31,60.3
1993-04-30,59.4
1993-05-31,60.3
1993-06-30,54.9
1993-07-31,55.2
1993-08-31,63.2
1993-09-30,60.9
1993-10-31,61.1
1993-11-30,60.0
1993-12-31,61.6
1994-01-31,58.1
1994-02-28,60.7
1994-03-31,63.5
1994-04-30,65.6
1994-05-31,63.3
1994-06-30,65.4
1994-07-31,69.6
1994-08-31,60.7
1994-09-30,67.8
1994-10-31,67.6
1994-11-30,67.7
1994-12-31,69.1
1995-01-31,67.1
1995-02-28,65.7
1995-03-31,64.9
1995-04-30,67.4
1995-05-31,67.0
1995-06-30,66.1
1995-07-31,63.0
1995-08-31,62.6
1995-09-30,65.3
1995-10-31,63.4
1995-11-30,65.6
1995-12-31,66.5
1996-01-31,66.8
1996-02-29,66.9
1996-03-31,67.5
1996-04-30,65.8
1996-05-31,66.4
1996-06-30,66.1
1996-07-31,64.9
1996-08-31,68.8
1996-09-30,67.8
1996-10-31,67.3
1996-11-30,70.5
1996-12-31,68.7
1997-01-31,70.1
1997-02-28,69.6
1997-03-31,72.2
1997-04-30,70.8
1997-05-31,69.7
1997-06-30,72.8
1997-07-31,77.2
1997-08-31,68.5
1997-09-30,71.3
1997-10-31,71.1
1997-11-30,75.5
1997-12-31,75.4
1998-01-31,77.4
1998-02-28,79.9
1998-03-31,79.5
1998-04-30,80.1
1998-05-31,81.9
1998-06-30,81.1
1998-07-31,86.2
1998-08-31,83.6
1998-09-30,83.0
1998-10-31,87.6
1998-11-30,83.8
1998-12-31,85.0
1999-01-31,82.3
1999-02-28,83.9
1999-03-31,80.6
1999-04-30,85.1
1999-05-31,85.3
1999-06-30,84.4
1999-07-31,83.7
1999-08-31,88.0
1999-09-30,84.2
1999-10-31,88.9
1999-11-30,87.1
1999-12-31,86.3
2000-01-31,85.9
2000-02-29,89.8
2000-03-31,90.3
2000-04-30,92.8
2000-05-31,95.7
2000-06-30,92.5
2000-07-31,98.3
2000-08-31,96.4
2000-09-30,94.0
2000-10-31,94.0
2000-11-30,95.8
2000-12-31,100.8
2001-01-31,100.9
2001-02-28,101.0
2001-03-31,99.2
2001-04-30,97.1
2001-05-31,97.4
2001-06-30,97.9
2001-07-31,93.1
2001-08-31,103.2
2001-09-30,98.9
2001-10-31,95.4
2001-11-30,92.5
2001-12-31,94.7
2002-01-31,95.9
2002-02-28,92.9
2002-03-31,96.4
2002-04-30,96.5
2002-05-31,94.4
2002-06-30,102.7
2002-07-31,95.0
2002-08-31,109.1
2002-09-30,101.3
2002-10-31,96.8
2002-11-30,103.1
2002-12-31,100.4
2003-01-31,102.2
2003-02-28,102.0
2003-03-31,101.4
2003-04-30,99.0
2003-05-31,99.5
2003-06-30,94.5
2003-07-31,100.8
2003-08-31,94.8
2003-09-30,97.3
2003-10-31,97.6
2003-11-30,107.2
2003-12-31,108.8
2004-01-31,97.4
2004-02-29,100.8
2004-03-31,101.5
2004-04-30,103.5
2004-05-31,107.3
2004-06-30,106.2
2004-07-31,102.8
2004-08-31,107.2
2004-09-30,104.4
