date,value
2000-01-31,27.2
2000-02-29,28.0
2000-03-31,28.9
2000-04-30,29.2
2000-05-31,27.3
2000-06-30,26.4
2000-07-31,28.2
2000-08-31,28.8
2000-09-30,28.2
2000-10-31,28.6
2000-11-30,29.3
2000-12-31,30.5
2001-01-31,29.9
2001-02-28,28.6
2001-03-31,29.9
2001-04-30,29.0
2001-05-31,29.9
2001-06-30,30.6
2001-07-31,29.7
2001-08-31,30.0
2001-09-30,29.4
2001-10-31,30.0
2001-11-30,29.0
2001-12-31,28.0
2002-01-31,28.5
2002-02-28,31.2
2002-03-31,29.4
2002-04-30,31.1
2002-05-31,32.3
2002-06-30,33.0
2002-07-31,33.8
2002-08-31,33.2
2002-09-30,32.5
2002-10-31,32.7
2002-11-30,34.1
2002-12-31,35.7
2003-01-31,37.0
2003-02-28,36.8
2003-03-31,36.6
2003-04-30,36.6
2003-05-31,37.4
2003-06-30,39.0
2003-07-31,40.7
2003-08-31,38.9
2003-09-30,40.2
2003-10-31,40.5
2003-11-30,40.8
2003-12-31,46.9
2004-01-31,38.3
2004-02-29,41.2
2004-03-31,40.1
2004-04-30,40.3
2004-05-31,40.1
2004-06-30,39.8
2004-07-31,39.7
2004-08-31,40.1
2004-09-30,40.3
2004-10-31,40.1
2004-11-30,39.1
2004-12-31,49.0
2005-01-31,38.5
2005-02-28,38.3
2005-03-31,38.5
2005-04-30,39.7
2005-05-31,39.6
2005-06-30,39.8
2005-07-31,39.5
2005-08-31,39.3
2005-09-30,39.7
2005-10-31,40.2
2005-11-30,42.1
2005-12-31,45.8
2006-01-31,44.6
2006-02-28,43.0
2006-03-31,45.8
2006-04-30,44.5
2006-05-31,47.6
2006-06-30,48.2
2006-07-31,49.4
2006-08-31,51.0
2006-09-30,50.5
2006-10-31,50.8
2006-11-30,52.0
2006-12-31,54.1
2007-01-31,57.3
2007-02-28,54.8
2007-03-31,56.6
2007-04-30,55.4
2007-05-31,59.6
2007-06-30,57.7
2007-07-31,57.4
2007-08-31,57.8
2007-09-30,59.1
2007-10-31,60.8
2007-11-30,65.2
2007-12-31,62.0
2008-01-31,95.2
2008-02-29,93.6
2008-03-31,89.5
2008-04-30,92.2
2008-05-31,88.9
2008-06-30,89.7
2008-07-31,92.6
2008-08-31,86.5
2008-09-30,85.4
2008-10-31,80.6
2008-11-30,80.5
2008-12-31,74.7
2009-01-31,67.3
2009-02-28,71.0
2009-03-31,70.9
2009-04-30,68.0
2009-05-31,70.3
2009-06-30,70.4
2009-07-31,77.3
2009-08-31,81.9
2009-09-30,78.4
2009-10-31,78.6
2009-11-30,80.4
2009-12-31,84.1
2010-01-31,83.8
2010-02-28,82.0
2010-03-31,83.8
2010-04-30,85.1
2010-05-31,88.2
2010-06-30,86.6
2010-07-31,87.6
2010-08-31,87.4
2010-09-30,86.9
2010-10-31,87.9
2010-11-30,86.5
2010-12-31,92.5
2011-01-31,92.7
2011-02-28,89.3
2011-03-31,88.4
2011-04-30,87.3
2011-05-31,89.5
2011-06-30,90.2
2011-07-31,91.8
2011-08-31,92.2
2011-09-30,92.2
2011-10-31,93.3
2011-11-30,89.6
2011-12-31,96.4
2012-01-31,96.1
2012-02-29,95.3
2012-03-31,101.5
2012-04-30,103.5
2012-05-31,103.9
2012-06-30,102.3
2012-07-31,102.7
2012-08-31,102.4
2012-09-30,105.9
2012-10-31,105.5
2012-11-30,105.2
2012-12-31,101.6
2013-01-31,99.6
2013-02-28,100.3
2013-03-31,100.0
2013-04-30,104.2
2013-05-31,97.9
2013-06-30,99.1
2013-07-31,98.3
2013-08-31,100.2
2013-09-30,104.9
2013-10-31,101.8
2013-11-30,105.4
2013-12-31,101.1
2014-01-31,103.5
2014-02-28,105.2
2014-03-31,104.9
2014-04-30,106.7
2014-05-31,105.9
2014-06-30,103.7
2014-07-31,104.4
2014-08-31,100.9
2014-09-30,103.2
2014-10-31,107.3
2014-11-30,105.9
2014-12-31,106.4
2015-01-31,109.7
2015-02-28,107.9
2015-03-31,113.1
2015-04-30,109.3
2015-05-31,109.4
2015-06-30,111.0
2015-07-31,116.0
2015-08-31,104.0
2015-09-30,111.1
2015-10-31,111.8
2015-11-30,112.1
2015-12-31,107.7
2016-01-31,112.6
2016-02-29,113.4
2016-03-31,104.9
2016-04-30,113.8
2016-05-31,111.1
2016-06-30,112.5
2016-07-31,104.0
2016-08-31,114.2
2016-09-30,109.5
2016-10-31,111.4
2016-11-30,110.0
2016-12-31,111.0
2017-01-31,109.6
2017-02-28,112.6
2017-03-31,115.0
2017-04-30,110.4
2017-05-31,112.1
2017-06-30,109.6
2017-07-31,108.2
2017-08-31,112.0
2017-09-30,112.6
2017-10-31,112.4
2017-11-30,114.2
2017-12-31,112.4
2018-01-31,107.4
2018-02-28,108.7
2018-03-31,107.4
2018-04-30,107.5
2018-05-31,109.2
2018-06-30,110.6
2018-07-31,105.2
2018-08-31,112.2
2018-09-30,110.4
2018-10-31,109.5
2018-11-30,107.2
2018-12-31,108.2
2019-01-31,107.7
2019-02-28,105.9
2019-03-31,109.1
2019-04-30,103.8
2019-05-31,104.0
2019-06-30,101.4
2019-07-31,98.6
2019-08-31,97.1
2019-09-30,100.0
2019-10-31,96.7
2019-11-30,96.6
2019-12-31,95.3
2020-01-31,102.7
