date,value
2000-01-31,34.4
2000-02-29,35.1
2000-03-31,35.2
2000-04-30,35.7
2000-05-31,34.0
2000-06-30,32.9
2000-07-31,34.6
2000-08-31,35.0
2000-09-30,35.1
2000-10-31,35.5
2000-11-30,35.7
2000-12-31,36.7
2001-01-31,36.8
2001-02-28,35.0
2001-03-31,36.4
2001-04-30,35.5
2001-05-31,36.2
2001-06-30,37.4
2001-07-31,36.3
2001-08-31,36.4
2001-09-30,36.6
2001-10-31,36.5
2001-11-30,35.7
2001-12-31,35.3
2002-01-31,35.7
2002-02-28,37.3
2002-03-31,36.3
2002-04-30,37.5
2002-05-31,38.2
2002-06-30,39.3
2002-07-31,39.3
2002-08-31,39.7
2002-09-30,39.3
2002-10-31,39.4
2002-11-30,41.1
2002-12-31,41.3
2003-01-31,42.6
2003-02-28,42.9
2003-03-31,43.2
2003-04-30,43.6
2003-05-31,43.5
2003-06-30,44.9
2003-07-31,45.4
2003-08-31,45.2
2003-09-30,44.9
2003-10-31,45.5
2003-11-30,46.8
2003-12-31,48.1
2004-01-31,44.3
2004-02-29,47.3
2004-03-31,45.7
2004-04-30,45.3
2004-05-31,47.0
2004-06-30,45.7
2004-07-31,45.5
2004-08-31,46.0
2004-09-30,46.2
2004-10-31,46.8
2004-11-30,45.0
2004-12-31,51.4
2005-01-31,45.1
2005-02-28,44.6
2005-03-31,44.3
2005-04-30,45.8
2005-05-31,45.4
2005-06-30,45.5
2005-07-31,46.6
2005-08-31,45.5
2005-09-30,45.7
2005-10-31,46.7
2005-11-30,47.3
2005-12-31,50.1
2006-01-31,49.7
2006-02-28,48.6
2006-03-31,51.2
2006-04-30,50.7
2006-05-31,51.9
2006-06-30,53.3
2006-07-31,54.4
2006-08-31,55.6
2006-09-30,55.3
2006-10-31,55.2
2006-11-30,56.1
2006-12-31,56.8
2007-01-31,59.4
2007-02-28,58.4
2007-03-31,60.7
2007-04-30,59.3
2007-05-31,62.7
2007-06-30,61.5
2007-07-31,62.3
2007-08-31,60.9
2007-09-30,63.6
2007-10-31,63.5
2007-11-30,67.8
2007-12-31,64.7
2008-01-31,93.3
2008-02-29,94.5
2008-03-31,93.2
2008-04-30,90.4
2008-05-31,91.0
2008-06-30,90.8
2008-07-31,92.9
2008-08-31,88.0
2008-09-30,87.1
2008-10-31,82.1
2008-11-30,81.6
2008-12-31,80.5
2009-01-31,66.9
2009-02-28,72.2
2009-03-31,71.6
