edition,time_period,value
200102,1993-Q1,461200000000
200102,1993-Q2,485600000000
200102,1993-Q3,504800000000
200102,1993-Q4,498800000000
200102,1994-Q1,480800000000
200102,1994-Q2,510000000000
200102,1994-Q3,530800000000
200102,1994-Q4,524800000000
200102,1995-Q1,507120000000
200102,1995-Q2,549850000000
200102,1995-Q3,566920000000
200102,1995-Q4,560230000000
200102,1996-Q1,538060000000
200102,1996-Q2,583940000000
200102,1996-Q3,602070000000
200102,1996-Q4,595610000000
200102,1997-Q1,570880000000
200102,1997-Q2,618980000000
200102,1997-Q3,640000000000
200102,1997-Q4,633690000000
200102,1998-Q1,604560000000
200102,1998-Q2,654880000000
200102,1998-Q3,670720000000
200102,1998-Q4,634350000000
200102,1999-Q1,615450000000
200102,1999-Q2,673870000000
200102,1999-Q3,674740000000
200102,1999-Q4,649180000000
200102,2000-Q1,624770000000
200102,2000-Q2,686760000000
200102,2000-Q3,691550000000
200103,1993-Q1,461200000000
200103,1993-Q2,485600000000
200103,1993-Q3,504800000000
200103,1993-Q4,498800000000
200103,1994-Q1,480800000000
200103,1994-Q2,510000000000
200103,1994-Q3,530800000000
200103,1994-Q4,524800000000
200103,1995-Q1,507120000000
200103,1995-Q2,549850000000
200103,1995-Q3,566920000000
200103,1995-Q4,560230000000
200103,1996-Q1,538060000000
200103,1996-Q2,583940000000
200103,1996-Q3,602070000000
200103,1996-Q4,595610000000
200103,1997-Q1,570880000000
200103,1997-Q2,618980000000
200103,1997-Q3,640000000000
200103,1997-Q4,633690000000
200103,1998-Q1,604560000000
200103,1998-Q2,654880000000
200103,1998-Q3,670720000000
200103,1998-Q4,634350000000
200103,1999-Q1,615450000000
200103,1999-Q2,673870000000
200103,1999-Q3,674740000000
200103,1999-Q4,649180000000
200103,2000-Q1,624770000000
200103,2000-Q2,686760000000
200103,2000-Q3,691550000000
200104,1993-Q1,461200000000
200104,1993-Q2,485600000000
200104,1993-Q3,504800000000
200104,1993-Q4,498800000000
200104,1994-Q1,480800000000
200104,1994-Q2,510000000000
200104,1994-Q3,530800000000
200104,1994-Q4,524800000000
200104,1995-Q1,507120000000
200104,1995-Q2,549850000000
200104,1995-Q3,566920000000
200104,1995-Q4,560230000000
200104,1996-Q1,538060000000
200104,1996-Q2,583940000000
200104,1996-Q3,602070000000
200104,1996-Q4,595610000000
200104,1997-Q1,570880000000
200104,1997-Q2,618980000000
200104,1997-Q3,640000000000
200104,1997-Q4,633690000000
200104,1998-Q1,604560000000
200104,1998-Q2,654880000000
200104,1998-Q3,670720000000
200104,1998-Q4,634350000000
200104,1999-Q1,615450000000
200104,1999-Q2,673870000000
200104,1999-Q3,674740000000
200104,1999-Q4,649180000000
200104,2000-Q1,624770000000
200104,2000-Q2,686760000000
200104,2000-Q3,691550000000
200104,2000-Q4,667920000000
200105,1993-Q1,461200000000
200105,1993-Q2,485600000000
