edition,time_period,value
200407,1989-01,113.2
200407,1989-02,113.8
200407,1989-03,105.9
200407,1989-04,109.3
200407,1989-05,110.5
200407,1989-06,125.9
200407,1989-07,97.3
200407,1989-08,82.5
200407,1989-09,101.6
200407,1989-10,102.9
200407,1989-11,141.4
200407,1989-12,146.1
200407,1990-01,103.3
200407,1990-02,107.0
200407,1990-03,103.7
200407,1990-04,114.6
200407,1990-05,114.0
200407,1990-06,107.0
200407,1990-07,123.2
200407,1990-08,115.6
200407,1990-09,100.7
200407,1990-10,132.7
200407,1990-11,94.5
200407,1990-12,78.3
200407,1991-01,105.5
200407,1991-02,97.1
200407,1991-03,100.8
200407,1991-04,89.6
200407,1991-05,86.2
200407,1991-06,84.4
200407,1991-07,80.0
200407,1991-08,79.5
200407,1991-09,81.1
200407,1991-10,81.3
200407,1991-11,80.5
200407,1991-12,76.1
200407,1992-01,77.9
200407,1992-02,76.3
200407,1992-03,81.7
200407,1992-04,78.4
200407,1992-05,74.6
200407,1992-06,80.6
200407,1992-07,78.5
200407,1992-08,76.2
200407,1992-09,83.1
200407,1992-10,79.1
200407,1992-11,77.3
200407,1992-12,78.3
200407,1993-01,77.9
200407,1993-02,78.4
200407,1993-03,73.6
200407,1993-04,76.1
200407,1993-05,75.6
200407,1993-06,75.0
200407,1993-07,70.8
200407,1993-08,76.3
200407,1993-09,76.2
200407,1993-10,72.8
200407,1993-11,77.3
200407,1993-12,77.4
200407,1994-01,74.8
200407,1994-02,76.7
200407,1994-03,77.5
200407,1994-04,76.5
200407,1994-05,80.9
200407,1994-06,81.5
200407,1994-07,82.5
200407,1994-08,80.4
200407,1994-09,77.9
200407,1994-10,78.8
200407,1994-11,80.4
200407,1994-12,84.1
200407,1995-01,79.3
200407,1995-02,81.5
200407,1995-03,83.2
200407,1995-04,84.2
200407,1995-05,88.4
200407,1995-06,87.8
200407,1995-07,85.6
200407,1995-08,89.2
200407,1995-09,87.7
200407,1995-10,88.5
200407,1995-11,88.9
200407,1995-12,86.9
200407,1996-01,89.1
200407,1996-02,89.1
200407,1996-03,84.3
200407,1996-04,85.3
200407,1996-05,87.7
200407,1996-06,85.9
200407,1996-07,89.0
200407,1996-08,87.8
200407,1996-09,90.7
200407,1996-10,91.5
200407,1996-11,89.1
200407,1996-12,88.7
200407,1997-01,88.1
200407,1997-02,89.5
200407,1997-03,84.0
200407,1997-04,90.4
200407,1997-05,86.5
200407,1997-06,91.4
200407,1997-07,90.0
200407,1997-08,85.6
200407,1997-09,89.2
200407,1997-10,92.6
200407,1997-11,91.3
200407,1997-12,93.1
200407,1998-01,96.0
200407,1998-02,94.8
200407,1998-03,98.5
200407,1998-04,98.3
200407,1998-05,92.1
200407,1998-06,93.9
200407,1998-07,95.7
200407,1998-08,92.8
200407,1998-09,93.8
200407,1998-10,91.3
200407,1998-11,91.1
200407,1998-12,91.6
200407,1999-01,90.6
