edition,time_period,value
200507,1995-01,77.66
200507,1995-02,74.34
200507,1995-03,76.54
200507,1995-04,79.03
200507,1995-05,78.77
200507,1995-06,79.05
200507,1995-07,77.55
200507,1995-08,77.55
200507,1995-09,77.01
200507,1995-10,78.8
200507,1995-11,77.38
200507,1995-12,80.84
200507,1996-01,80.49
200507,1996-02,83.67
200507,1996-03,78.91
200507,1996-04,80.23
200507,1996-05,81.96
200507,1996-06,81.83
200507,1996-07,81.84
200507,1996-08,83.18
200507,1996-09,84.04
200507,1996-10,81.62
200507,1996-11,84.42
200507,1996-12,84.11
200507,1997-01,74.25
200507,1997-02,76.97
200507,1997-03,75.58
200507,1997-04,77.59
200507,1997-05,75.39
200507,1997-06,72.08
200507,1997-07,78.46
200507,1997-08,76.83
200507,1997-09,77.24
200507,1997-10,79.7
200507,1997-11,75.49
200507,1997-12,75.39
200507,1998-01,79.49
200507,1998-02,78.56
200507,1998-03,81.88
200507,1998-04,74.65
200507,1998-05,78.29
200507,1998-06,81.88
200507,1998-07,80.05
200507,1998-08,80.36
200507,1998-09,80.81
200507,1998-10,79.4
200507,1998-11,83.4
200507,1998-12,78.16
200507,1999-01,91.47
200507,1999-02,90.4
200507,1999-03,90.72
200507,1999-04,94.91
200507,1999-05,91.52
200507,1999-06,92.71
200507,1999-07,90.77
200507,1999-08,93.01
200507,1999-09,94.04
200507,1999-10,95.33
200507,1999-11,94.06
200507,1999-12,93.05
200507,2000-01,91.73
200507,2000-02,96.8
200507,2000-03,103.13
200507,2000-04,99.51
200507,2000-05,101.1
200507,2000-06,103.07
200507,2000-07,100.57
200507,2000-08,100.44
200507,2000-09,100.66
200507,2000-10,98.41
200507,2000-11,99.38
200507,2000-12,100.92
200507,2001-01,101.19
200507,2001-02,105.17
200507,2001-03,100.02
200507,2001-04,101.25
200507,2001-05,100.72
200507,2001-06,100.03
200507,2001-07,104.3
200507,2001-08,105.39
200507,2001-09,107.18
200507,2001-10,106.1
200507,2001-11,109.19
200507,2001-12,108.41
200507,2002-01,111.67
200507,2002-02,105.71
200507,2002-03,110.73
200507,2002-04,107.05
200507,2002-05,110.25
200507,2002-06,112.39
200507,2002-07,110.12
200507,2002-08,109.2
200507,2002-09,108.9
200507,2002-10,111.73
200507,2002-11,110.15
200507,2002-12,113.06
200507,2003-01,106.03
200507,2003-02,102.73
200507,2003-03,101.13
200507,2003-04,104.45
200507,2003-05,103.37
200507,2003-06,101.77
200507,2003-07,101.85
200507,2003-08,104.18
200507,2003-09,102.99
200507,2003-10,106.57
200507,2003-11,107.15
200507,2003-12,110.24
200507,2004-01,106.97
200507,2004-02,106.66
200507,2004-03,108.22
200507,2004-04,111.05
200507,2004-05,110.56
200507,2004-06,111.51
200507,2004-07,113.27
200507,2004-08,111.95
200507,2004-09,112.62
200507,2004-10,111.26
200507,2004-11,112.33
200507,2004-12,113.56
200507,2005-01,115.81
200507,2005-02,119.17
200507,2005-03,117.24
200507,2005-04,118.58
200507,2005-05,120.29
200508,1995-01,77.65
200508,1995-02,74.33
200508,1995-03,76.54
200508,1995-04,79.03
200508,1995-05,78.77
200508,1995-06,79.06
200508,1995-07,77.55
200508,1995-08,77.56
200508,1995-09,77.01
200508,1995-10,78.8
200508,1995-11,77.38
200508,1995-12,80.84
200508,1996-01,80.48
200508,1996-02,83.67
200508,1996-03,78.9
200508,1996-04,80.23
200508,1996-05,81.96
200508,1996-06,81.83
200508,1996-07,81.85
200508,1996-08,83.19
200508,1996-09,84.05
200508,1996-10,81.62
200508,1996-11,84.42
200508,1996-12,84.11
200508,1997-01,74.24
200508,1997-02,76.97
200508,1997-03,75.58
200508,1997-04,77.59
200508,1997-05,75.39
200508,1997-06,72.08
200508,1997-07,78.46
200508,1997-08,76.83
200508,1997-09,77.24
200508,1997-10,79.7
200508,1997-11,75.49
200508,1997-12,75.39
200508,1998-01,79.49
200508,1998-02,78.56
200508,1998-03,81.88
200508,1998-04,74.65
200508,1998-05,78.29
200508,1998-06,81.88
200508,1998-07,80.05
200508,1998-08,80.36
200508,1998-09,80.81
200508,1998-10,79.4
200508,1998-11,83.4
200508,1998-12,78.15
200508,1999-01,91.47
200508,1999-02,90.4
200508,1999-03,90.72
200508,1999-04,94.91
200508,1999-05,91.52
200508,1999-06,92.71
200508,1999-07,90.77
200508,1999-08,93.01
200508,1999-09,94.04
200508,1999-10,95.33
200508,1999-11,94.05
200508,1999-12,93.04
200508,2000-01,91.73
200508,2000-02,96.8
200508,2000-03,103.13
200508,2000-04,99.51
200508,2000-05,101.1
200508,2000-06,103.07
200508,2000-07,100.57
200508,2000-08,100.44
200508,2000-09,100.66
200508,2000-10,98.41
200508,2000-11,99.38
200508,2000-12,100.91
200508,2001-01,101.19
200508,2001-02,105.17
200508,2001-03,100.02
200508,2001-04,101.25
200508,2001-05,100.72
200508,2001-06,100.03
200508,2001-07,104.3
200508,2001-08,105.39
200508,2001-09,107.18
200508,2001-10,106.1
200508,2001-11,109.2
200508,2001-12,108.41
200508,2002-01,111.67
200508,2002-02,105.7
200508,2002-03,110.73
200508,2002-04,107.05
200508,2002-05,110.25
200508,2002-06,112.4
200508,2002-07,110.12
200508,2002-08,109.21
200508,2002-09,108.9
200508,2002-10,111.73
200508,2002-11,110.15
200508,2002-12,113.06
200508,2003-01,106.03
200508,2003-02,102.73
200508,2003-03,101.13
200508,2003-04,104.44
200508,2003-05,103.37
200508,2003-06,101.77
200508,2003-07,101.85
200508,2003-08,104.18
200508,2003-09,102.99
200508,2003-10,106.57
200508,2003-11,107.16
200508,2003-12,110.25
200508,2004-01,106.97
200508,2004-02,106.65
200508,2004-03,108.22
200508,2004-04,111.04
200508,2004-05,110.55
200508,2004-06,111.53
200508,2004-07,113.28
200508,2004-08,111.96
200508,2004-09,112.62
200508,2004-10,111.26
200508,2004-11,112.33
200508,2004-12,113.57
200508,2005-01,115.81
200508,2005-02,119.17
200508,2005-03,117.22
200508,2005-04,118.57
200508,2005-05,120.27
200509,1995-01,77.93
200509,1995-02,74.6
200509,1995-03,76.81
200509,1995-04,79.31
200509,1995-05,79.06
200509,1995-06,79.34
200509,1995-07,77.82
200509,1995-08,77.84
200509,1995-09,77.29
200509,1995-10,79.08
200509,1995-11,77.66
200509,1995-12,81.13
200509,1996-01,80.78
200509,1996-02,83.97
200509,1996-03,79.18
200509,1996-04,80.52
200509,1996-05,82.26
200509,1996-06,82.11
200509,1996-07,82.14
200509,1996-08,83.49
200509,1996-09,84.34
200509,1996-10,81.92
200509,1996-11,84.72
200509,1996-12,84.41
200509,1997-01,74.52
200509,1997-02,77.25
200509,1997-03,75.85
200509,1997-04,77.87
200509,1997-05,75.66
