edition,time_period,value
200302,1999-01,14.9
200302,1999-02,15.1
200302,1999-03,15.4
200302,1999-04,15.7
200302,1999-05,16.1
200302,1999-06,16.6
200302,1999-07,17.1
200302,1999-08,17.5
200302,1999-09,17.8
200302,1999-10,18.0
200302,1999-11,18.3
200302,1999-12,18.5
200302,2000-01,18.5
200302,2000-02,18.5
200302,2000-03,18.7
200302,2000-04,18.9
200302,2000-05,19.1
200302,2000-06,19.3
200302,2000-07,19.4
200302,2000-08,19.0
200302,2000-09,18.3
200302,2000-10,18.2
200302,2000-11,18.3
200302,2000-12,18.6
200302,2001-01,19.1
200302,2001-02,19.5
200302,2001-03,19.5
200302,2001-04,19.5
200302,2001-05,19.3
200302,2001-06,19.3
200302,2001-07,19.3
200302,2001-08,19.4
200302,2001-09,19.6
200302,2001-10,19.8
200302,2001-11,19.9
200302,2001-12,19.8
200302,2002-01,19.8
200302,2002-02,19.7
200302,2002-03,19.6
200302,2002-04,19.5
200302,2002-05,19.5
200302,2002-06,19.5
200302,2002-07,19.3
200302,2002-08,19.2
200302,2002-09,19.3
200302,2002-10,19.3
200302,2002-11,19.2
200302,2002-12,19.0
200303,1999-01,14.9
200303,1999-02,15.1
200303,1999-03,15.5
200303,1999-04,15.8
200303,1999-05,16.1
200303,1999-06,16.6
200303,1999-07,17.1
200303,1999-08,17.4
200303,1999-09,17.8
200303,1999-10,18.0
200303,1999-11,18.3
200303,1999-12,18.5
200303,2000-01,18.5
200303,2000-02,18.6
200303,2000-03,18.7
200303,2000-04,18.9
200303,2000-05,19.1
200303,2000-06,19.3
200303,2000-07,19.4
200303,2000-08,18.9
200303,2000-09,18.3
200303,2000-10,18.2
200303,2000-11,18.3
200303,2000-12,18.5
200303,2001-01,19.2
200303,2001-02,19.7
200303,2001-03,19.7
200303,2001-04,19.6
200303,2001-05,19.4
200303,2001-06,19.2
200303,2001-07,19.2
200303,2001-08,19.2
200303,2001-09,19.3
200303,2001-10,19.4
200303,2001-11,19.4
200303,2001-12,19.3
200303,2002-01,19.2
200303,2002-02,19.2
200303,2002-03,19.0
200303,2002-04,18.9
200303,2002-05,18.8
200303,2002-06,18.7
200303,2002-07,18.5
200303,2002-08,18.3
200303,2002-09,18.3
200303,2002-10,18.2
200303,2002-11,18.1
200303,2002-12,18.0
200303,2003-01,17.7
200304,1999-01,14.9
200304,1999-02,15.2
200304,1999-03,15.5
200304,1999-04,15.8
200304,1999-05,16.1
200304,1999-06,16.6
200304,1999-07,17.1
200304,1999-08,17.4
200304,1999-09,17.7
200304,1999-10,18.0
200304,1999-11,18.3
200304,1999-12,18.5
200304,2000-01,18.5
200304,2000-02,18.6
200304,2000-03,18.8
200304,2000-04,18.9
200304,2000-05,19.1
200304,2000-06,19.3
200304,2000-07,19.4
