date,value
2000-01-31,20.9
2000-02-29,22.0
2000-03-31,24.9
2000-04-30,24.5
2000-05-31,25.5
2000-06-30,25.5
2000-07-31,25.2
2000-08-31,26.3
2000-09-30,26.3
2000-10-31,26.3
2000-11-30,27.5
2000-12-31,30.2
2001-01-31,27.4
2001-02-28,31.1
2001-03-31,30.2
2001-04-30,32.4
2001-05-31,31.0
2001-06-30,32.7
2001-07-31,32.3
2001-08-31,32.7
2001-09-30,34.0
2001-10-31,33.3
2001-11-30,32.6
2001-12-31,33.6
2002-01-31,30.4
2002-02-28,30.9
2002-03-31,31.3
2002-04-30,31.5
2002-05-31,32.7
2002-06-30,33.1
2002-07-31,32.6
2002-08-31,33.2
2002-09-30,32.7
2002-10-31,31.8
2002-11-30,31.7
2002-12-31,30.3
2003-01-31,31.1
2003-02-28,29.4
2003-03-31,30.6
2003-04-30,29.2
2003-05-31,29.6
2003-06-30,29.9
2003-07-31,32.4
2003-08-31,30.4
2003-09-30,31.1
2003-10-31,32.6
2003-11-30,34.0
2003-12-31,32.8
2004-01-31,30.9
2004-02-29,33.7
2004-03-31,34.4
2004-04-30,35.3
2004-05-31,34.3
2004-06-30,33.5
2004-07-31,33.5
2004-08-31,34.5
2004-09-30,34.3
2004-10-31,35.1
2004-11-30,35.2
2004-12-31,35.5
2005-01-31,34.3
2005-02-28,33.6
2005-03-31,34.8
2005-04-30,38.5
2005-05-31,38.7
2005-06-30,38.6
2005-07-31,39.3
2005-08-31,39.3
2005-09-30,40.1
2005-10-31,40.7
2005-11-30,39.0
2005-12-31,42.1
2006-01-31,42.6
2006-02-28,41.3
2006-03-31,41.9
2006-04-30,42.9
2006-05-31,43.4
2006-06-30,44.9
2006-07-31,54.1
2006-08-31,54.1
2006-09-30,54.6
2006-10-31,54.6
2006-11-30,54.9
2006-12-31,53.6
2007-01-31,57.0
2007-02-28,56.9
2007-03-31,54.6
2007-04-30,54.7
2007-05-31,57.5
2007-06-30,55.1
2007-07-31,56.3
2007-08-31,58.0
2007-09-30,57.1
2007-10-31,57.6
2007-11-30,60.3
2007-12-31,59.9
2008-01-31,67.4
2008-02-29,65.5
2008-03-31,65.0
2008-04-30,66.3
2008-05-31,65.4
2008-06-30,66.8
2008-07-31,64.9
2008-08-31,66.4
2008-09-30,66.5
2008-10-31,67.5
2008-11-30,65.9
2008-12-31,59.0
2009-01-31,59.1
2009-02-28,62.1
2009-03-31,53.8
2009-04-30,54.0
2009-05-31,54.4
2009-06-30,54.7
2009-07-31,57.7
2009-08-31,59.3
2009-09-30,57.6
2009-10-31,57.0
2009-11-30,59.2
2009-12-31,56.6
2010-01-31,60.4
2010-02-28,59.2
2010-03-31,59.0
2010-04-30,59.8
2010-05-31,60.3
2010-06-30,61.2
2010-07-31,61.5
2010-08-31,59.3
2010-09-30,61.4
2010-10-31,64.6
2010-11-30,62.3
2010-12-31,64.5
2011-01-31,65.0
2011-02-28,66.7
2011-03-31,68.5
2011-04-30,67.6
2011-05-31,67.6
2011-06-30,65.4
2011-07-31,64.7
2011-08-31,65.1
2011-09-30,66.7
2011-10-31,66.7
2011-11-30,67.5
2011-12-31,71.6
2012-01-31,69.5
2012-02-29,67.1
2012-03-31,69.1
2012-04-30,70.5
2012-05-31,70.6
2012-06-30,72.6
2012-07-31,74.1
2012-08-31,74.4
2012-09-30,74.2
2012-10-31,73.6
2012-11-30,73.4
2012-12-31,71.8
2013-01-31,78.1
2013-02-28,75.1
2013-03-31,77.4
2013-04-30,75.8
2013-05-31,78.1
2013-06-30,80.3
2013-07-31,79.8
2013-08-31,79.9
2013-09-30,80.9
2013-10-31,81.9
2013-11-30,80.8
2013-12-31,79.2
2014-01-31,75.3
2014-02-28,82.6
2014-03-31,83.1
2014-04-30,83.9
2014-05-31,82.2
2014-06-30,82.4
2014-07-31,83.5
2014-08-31,84.0
2014-09-30,83.3
2014-10-31,84.4
2014-11-30,87.2
2014-12-31,85.7
2015-01-31,81.7
2015-02-28,83.4
2015-03-31,86.4
2015-04-30,82.5
2015-05-31,82.7
2015-06-30,83.5
2015-07-31,82.0
2015-08-31,81.5
2015-09-30,81.7
2015-10-31,80.6
2015-11-30,83.4
2015-12-31,80.7
2016-01-31,81.5
2016-02-29,79.9
2016-03-31,78.1
2016-04-30,85.9
2016-05-31,85.7
2016-06-30,86.0
2016-07-31,87.1
2016-08-31,86.0
2016-09-30,87.7
2016-10-31,87.6
2016-11-30,87.2
2016-12-31,89.0
2017-01-31,86.2
2017-02-28,88.4
2017-03-31,90.0
2017-04-30,87.3
2017-05-31,90.0
2017-06-30,89.1
2017-07-31,86.7
2017-08-31,90.4
2017-09-30,89.7
2017-10-31,89.3
2017-11-30,90.2
2017-12-31,91.4
2018-01-31,91.4
2018-02-28,93.1
2018-03-31,91.8
2018-04-30,95.6
2018-05-31,94.4
2018-06-30,94.7
2018-07-31,92.7
2018-08-31,92.9
2018-09-30,92.8
2018-10-31,92.1
2018-11-30,93.7
2018-12-31,94.3
2019-01-31,98.4
2019-02-28,98.2
2019-03-31,96.3
2019-04-30,96.5
2019-05-31,98.6
2019-06-30,97.2
2019-07-31,94.2
2019-08-31,94.3
2019-09-30,95.8
2019-10-31,95.5
2019-11-30,97.0
2019-12-31,91.6
2020-01-31,92.9
2020-02-29,91.1
2020-03-31,84.3
2020-04-30,69.1
2020-05-31,71.7
2020-06-30,78.9
2020-07-31,87.1
2020-08-31,89.0
2020-09-30,91.6
2020-10-31,91.9
2020-11-30,90.5
2020-12-31,92.4
2021-01-31,95.6
2021-02-28,95.6
2021-03-31,101.1
2021-04-30,98.7
2021-05-31,97.5
2021-06-30,97.8
2021-07-31,97.5
2021-08-31,98.5
2021-09-30,99.5
2021-10-31,104.7
2021-11-30,102.3
2021-12-31,111.2
2022-01-31,110.2
2022-02-28,111.2
2022-03-31,121.6
2022-04-30,117.0
2022-05-31,122.8
2022-06-30,118.9
2022-07-31,121.7
2022-08-31,124.0
2022-09-30,119.2
2022-10-31,117.2
2022-11-30,125.3
2022-12-31,118.2
2023-01-31,114.9
2023-02-28,115.1
2023-03-31,113.4
2023-04-30,112.6
2023-05-31,114.5
2023-06-30,113.5
2023-07-31,113.2
2023-08-31,114.6
2023-09-30,116.0
2023-10-31,116.6
2023-11-30,113.5
2023-12-31,114.7
2024-01-31,114.0
2024-02-29,114.2
2024-03-31,116.8
2024-04-30,116.9
2024-05-31,114.9
2024-06-30,116.5
2024-07-31,116.4
2024-08-31,116.2
2024-09-30,116.4
2024-10-31,119.3
2024-11-30,116.8
2024-12-31,121.0
2025-01-31,122.4
2025-02-28,122.5
2025-03-31,121.2
2025-04-30,118.2
2025-05-31,119.3
2025-06-30,122.0
2025-07-31,123.6
2025-08-31,121.2
2025-09-30,124.0
2025-10-31,122.7
2025-11-30,123.5
2025-12-31,122.6
2026-01-31,125.1
2026-02-28,122.9
2026-03-31,127.0
2026-04-30,127.9
2026-05-31,128.6
