date,value
2000-01-31,27.1
2000-02-29,27.6
2000-03-31,28.3
2000-04-30,27.9
2000-05-31,29.0
2000-06-30,28.6
2000-07-31,29.2
2000-08-31,29.4
2000-09-30,30.2
2000-10-31,29.6
2000-11-30,30.7
2000-12-31,30.7
2001-01-31,31.2
2001-02-28,31.6
2001-03-31,31.7
2001-04-30,32.2
2001-05-31,32.0
2001-06-30,32.7
2001-07-31,33.2
2001-08-31,33.9
2001-09-30,33.2
2001-10-31,35.6
2001-11-30,34.8
2001-12-31,35.0
2002-01-31,35.0
2002-02-28,35.5
2002-03-31,35.5
2002-04-30,36.1
2002-05-31,36.4
2002-06-30,36.8
2002-07-31,36.5
2002-08-31,37.5
2002-09-30,37.5
2002-10-31,37.3
2002-11-30,37.9
2002-12-31,37.0
2003-01-31,38.9
2003-02-28,38.8
2003-03-31,38.9
2003-04-30,39.0
2003-05-31,39.4
2003-06-30,39.6
2003-07-31,40.3
2003-08-31,40.2
2003-09-30,40.5
2003-10-31,40.7
2003-11-30,41.5
2003-12-31,40.7
2004-01-31,41.4
2004-02-29,42.1
2004-03-31,42.8
2004-04-30,42.6
2004-05-31,43.4
2004-06-30,43.2
2004-07-31,43.1
2004-08-31,43.8
2004-09-30,43.7
2004-10-31,44.3
2004-11-30,44.5
2004-12-31,44.6
2005-01-31,44.8
2005-02-28,46.3
2005-03-31,45.8
2005-04-30,47.1
2005-05-31,47.3
2005-06-30,47.5
2005-07-31,48.1
2005-08-31,49.5
2005-09-30,49.1
2005-10-31,49.7
2005-11-30,50.4
2005-12-31,52.2
2006-01-31,52.6
2006-02-28,51.2
2006-03-31,52.3
2006-04-30,52.6
2006-05-31,54.6
2006-06-30,53.7
2006-07-31,54.9
2006-08-31,54.8
2006-09-30,54.4
2006-10-31,55.6
2006-11-30,56.0
2006-12-31,56.2
2007-01-31,56.7
2007-02-28,58.1
2007-03-31,58.0
2007-04-30,57.9
2007-05-31,57.9
2007-06-30,59.1
2007-07-31,58.8
2007-08-31,59.5
2007-09-30,63.2
2007-10-31,61.2
2007-11-30,62.7
2007-12-31,61.8
2008-01-31,61.2
2008-02-29,61.1
2008-03-31,63.0
2008-04-30,62.9
2008-05-31,62.5
2008-06-30,64.3
2008-07-31,65.4
2008-08-31,65.3
2008-09-30,64.7
2008-10-31,64.5
2008-11-30,63.9
2008-12-31,68.8
2009-01-31,65.9
2009-02-28,67.3
2009-03-31,68.0
2009-04-30,68.0
2009-05-31,67.9
2009-06-30,67.9
2009-07-31,65.7
2009-08-31,65.8
2009-09-30,64.5
2009-10-31,66.2
2009-11-30,66.4
2009-12-31,63.1
2010-01-31,63.8
2010-02-28,63.4
2010-03-31,61.4
2010-04-30,62.5
2010-05-31,61.3
2010-06-30,61.0
2010-07-31,60.2
2010-08-31,59.4
2010-09-30,60.4
2010-10-31,56.6
2010-11-30,57.4
2010-12-31,57.6
2011-01-31,66.4
2011-02-28,64.1
2011-03-31,64.7
2011-04-30,63.7
2011-05-31,66.7
2011-06-30,65.7
2011-07-31,65.3
2011-08-31,75.2
2011-09-30,64.5
2011-10-31,69.1
2011-11-30,65.9
2011-12-31,66.9
2012-01-31,69.9
2012-02-29,69.0
2012-03-31,69.3
2012-04-30,70.7
2012-05-31,69.7
2012-06-30,69.9
2012-07-31,69.1
2012-08-31,70.3
2012-09-30,71.8
2012-10-31,70.8
2012-11-30,71.3
2012-12-31,70.7
2013-01-31,70.4
2013-02-28,72.1
2013-03-31,73.3
2013-04-30,71.9
2013-05-31,71.0
2013-06-30,72.4
2013-07-31,74.4
2013-08-31,74.9
2013-09-30,73.1
2013-10-31,73.6
2013-11-30,75.3
2013-12-31,78.0
2014-01-31,75.7
2014-02-28,77.6
2014-03-31,75.2
2014-04-30,77.3
2014-05-31,77.5
2014-06-30,79.7
2014-07-31,69.1
2014-08-31,71.0
2014-09-30,76.3
2014-10-31,76.5
2014-11-30,78.0
2014-12-31,77.9
2015-01-31,77.4
2015-02-28,78.6
2015-03-31,79.6
2015-04-30,77.7
2015-05-31,81.5
2015-06-30,79.0
2015-07-31,81.5
2015-08-31,81.4
2015-09-30,79.4
2015-10-31,82.2
2015-11-30,94.0
2015-12-31,79.2
2016-01-31,76.7
2016-02-29,79.5
2016-03-31,77.7
2016-04-30,79.7
2016-05-31,76.3
2016-06-30,80.0
2016-07-31,77.8
2016-08-31,77.5
2016-09-30,77.2
2016-10-31,77.3
2016-11-30,76.7
2016-12-31,81.6
2017-01-31,79.6
2017-02-28,79.6
2017-03-31,80.9
2017-04-30,83.9
2017-05-31,81.6
2017-06-30,80.3
2017-07-31,82.5
2017-08-31,82.4
2017-09-30,84.5
2017-10-31,83.9
2017-11-30,87.1
2017-12-31,86.4
2018-01-31,88.4
2018-02-28,86.6
2018-03-31,86.1
2018-04-30,86.5
2018-05-31,88.2
2018-06-30,89.3
2018-07-31,92.2
2018-08-31,91.6
2018-09-30,91.6
2018-10-31,92.5
2018-11-30,93.9
2018-12-31,90.6
2019-01-31,96.0
2019-02-28,92.8
2019-03-31,96.9
2019-04-30,96.2
2019-05-31,97.7
2019-06-30,97.6
2019-07-31,97.0
2019-08-31,95.8
2019-09-30,95.4
2019-10-31,96.7
2019-11-30,107.9
2019-12-31,106.4
2020-01-31,96.1
2020-02-29,97.9
2020-03-31,93.8
2020-04-30,93.0
2020-05-31,87.7
2020-06-30,88.5
2020-07-31,88.2
2020-08-31,87.9
2020-09-30,92.2
2020-10-31,90.7
2020-11-30,90.4
2020-12-31,91.1
2021-01-31,97.4
2021-02-28,93.5
2021-03-31,95.6
2021-04-30,94.7
2021-05-31,98.9
2021-06-30,100.8
2021-07-31,102.9
2021-08-31,102.3
2021-09-30,101.6
2021-10-31,102.4
2021-11-30,104.3
2021-12-31,105.5
2022-01-31,108.5
2022-02-28,111.2
2022-03-31,112.8
2022-04-30,115.0
2022-05-31,116.1
2022-06-30,112.7
2022-07-31,114.3
2022-08-31,117.2
2022-09-30,118.4
2022-10-31,119.2
2022-11-30,120.1
2022-12-31,120.0
2023-01-31,122.4
2023-02-28,122.1
2023-03-31,124.7
2023-04-30,124.9
2023-05-31,125.1
2023-06-30,128.3
2023-07-31,127.2
2023-08-31,129.8
2023-09-30,129.1
2023-10-31,130.2
2023-11-30,134.0
2023-12-31,128.0
2024-01-31,132.9
2024-02-29,133.2
2024-03-31,131.1
2024-04-30,133.6
2024-05-31,133.5
2024-06-30,133.8
2024-07-31,135.0
2024-08-31,135.0
2024-09-30,133.8
2024-10-31,138.1
2024-11-30,134.2
2024-12-31,140.1
2025-01-31,133.8
2025-02-28,134.2
2025-03-31,136.5
2025-04-30,139.8
2025-05-31,139.0
2025-06-30,138.8
2025-07-31,138.5
2025-08-31,139.1
2025-09-30,143.4
2025-10-31,139.5
2025-11-30,144.2
2025-12-31,147.4
2026-01-31,148.2
2026-02-28,150.7
2026-03-31,151.4
2026-04-30,146.6
