date,value
2000-01-31,8.7
2000-02-29,9.3
2000-03-31,9.4
2000-04-30,11.5
2000-05-31,14.3
2000-06-30,14.5
2000-07-31,15.1
2000-08-31,16.1
2000-09-30,12.1
2000-10-31,10.5
2000-11-30,10.5
2000-12-31,11.8
2001-01-31,12.2
2001-02-28,12.9
2001-03-31,13.5
2001-04-30,13.5
2001-05-31,15.2
2001-06-30,16.3
2001-07-31,16.8
2001-08-31,16.4
2001-09-30,15.6
2001-10-31,16.3
2001-11-30,15.9
2001-12-31,15.8
2002-01-31,13.5
2002-02-28,15.0
2002-03-31,14.5
2002-04-30,15.2
2002-05-31,17.5
2002-06-30,18.4
2002-07-31,20.5
2002-08-31,19.0
2002-09-30,17.8
2002-10-31,17.3
2002-11-30,16.2
2002-12-31,16.8
2003-01-31,16.1
2003-02-28,16.2
2003-03-31,16.3
2003-04-30,17.1
2003-05-31,19.0
2003-06-30,20.3
2003-07-31,21.0
2003-08-31,21.2
2003-09-30,18.8
2003-10-31,18.6
2003-11-30,17.8
2003-12-31,17.9
2004-01-31,17.6
2004-02-29,17.1
2004-03-31,18.0
2004-04-30,18.6
2004-05-31,19.9
2004-06-30,21.6
2004-07-31,21.7
2004-08-31,21.7
2004-09-30,21.4
2004-10-31,18.9
2004-11-30,18.6
2004-12-31,18.6
2005-01-31,18.9
2005-02-28,20.6
2005-03-31,22.7
2005-04-30,22.1
2005-05-31,24.4
2005-06-30,25.3
2005-07-31,24.4
2005-08-31,24.5
2005-09-30,24.3
2005-10-31,22.8
2005-11-30,22.4
2005-12-31,21.3
2006-01-31,22.0
2006-02-28,21.7
2006-03-31,22.9
2006-04-30,24.7
2006-05-31,25.4
2006-06-30,26.2
2006-07-31,28.3
2006-08-31,28.5
2006-09-30,27.1
2006-10-31,25.8
2006-11-30,23.9
2006-12-31,23.4
2007-01-31,23.9
2007-02-28,25.6
2007-03-31,26.7
2007-04-30,25.0
2007-05-31,26.1
2007-06-30,26.9
2007-07-31,25.1
2007-08-31,28.0
2007-09-30,23.5
2007-10-31,25.4
2007-11-30,22.9
2007-12-31,22.8
2008-01-31,25.2
2008-02-29,27.3
2008-03-31,28.6
2008-04-30,30.0
2008-05-31,29.9
2008-06-30,33.9
2008-07-31,36.0
2008-08-31,35.6
2008-09-30,36.4
2008-10-31,31.7
2008-11-30,29.4
2008-12-31,29.3
2009-01-31,26.6
2009-02-28,27.3
2009-03-31,27.6
2009-04-30,28.6
2009-05-31,31.0
2009-06-30,31.1
2009-07-31,32.4
2009-08-31,33.5
2009-09-30,31.6
2009-10-31,29.4
2009-11-30,28.4
2009-12-31,30.0
2010-01-31,27.5
2010-02-28,28.8
2010-03-31,29.2
2010-04-30,30.2
2010-05-31,31.8
2010-06-30,33.6
2010-07-31,35.2
2010-08-31,36.3
2010-09-30,34.8
2010-10-31,32.1
2010-11-30,30.9
2010-12-31,32.1
