date,value
2000-01-31,79.4
2000-02-29,71.0
2000-03-31,94.5
2000-04-30,81.8
2000-05-31,99.2
2000-06-30,89.5
2000-07-31,91.9
2000-08-31,98.3
2000-09-30,80.8
2000-10-31,90.4
2000-11-30,84.9
2000-12-31,86.5
2001-01-31,73.7
2001-02-28,72.0
2001-03-31,76.7
2001-04-30,79.8
2001-05-31,86.4
2001-06-30,87.2
2001-07-31,86.0
2001-08-31,92.8
2001-09-30,79.0
2001-10-31,88.9
2001-11-30,84.9
2001-12-31,94.1
2002-01-31,76.0
2002-02-28,74.1
2002-03-31,75.7
2002-04-30,79.1
2002-05-31,77.4
2002-06-30,72.5
2002-07-31,72.3
2002-08-31,74.1
2002-09-30,64.8
2002-10-31,79.5
2002-11-30,72.7
2002-12-31,83.1
2003-01-31,68.5
2003-02-28,74.4
2003-03-31,67.8
2003-04-30,68.2
2003-05-31,81.4
2003-06-30,80.2
2003-07-31,77.4
2003-08-31,87.7
2003-09-30,64.6
2003-10-31,73.0
2003-11-30,64.4
2003-12-31,84.2
2004-01-31,61.6
2004-02-29,75.0
2004-03-31,70.5
2004-04-30,67.6
2004-05-31,76.3
2004-06-30,73.0
2004-07-31,82.7
2004-08-31,85.8
2004-09-30,71.3
2004-10-31,80.3
2004-11-30,76.3
2004-12-31,93.8
2005-01-31,67.2
2005-02-28,83.3
2005-03-31,79.3
2005-04-30,75.1
2005-05-31,77.0
2005-06-30,80.7
2005-07-31,88.4
2005-08-31,91.8
2005-09-30,75.6
2005-10-31,84.0
2005-11-30,76.5
2005-12-31,92.3
2006-01-31,86.4
2006-02-28,101.3
2006-03-31,102.1
2006-04-30,94.0
2006-05-31,99.1
2006-06-30,94.7
2006-07-31,101.2
2006-08-31,104.8
2006-09-30,83.9
2006-10-31,92.6
2006-11-30,83.3
2006-12-31,93.9
2007-01-31,88.1
2007-02-28,105.0
2007-03-31,105.2
2007-04-30,94.7
2007-05-31,99.3
2007-06-30,94.7
2007-07-31,98.9
2007-08-31,104.8
2007-09-30,94.5
2007-10-31,102.0
2007-11-30,91.7
2007-12-31,103.5
2008-01-31,104.5
2008-02-29,106.7
2008-03-31,106.1
2008-04-30,104.7
2008-05-31,111.7
2008-06-30,107.8
2008-07-31,107.7
2008-08-31,108.5
2008-09-30,92.5
2008-10-31,104.3
2008-11-30,96.9
2008-12-31,102.0
2009-01-31,79.6
2009-02-28,83.6
2009-03-31,83.2
2009-04-30,80.3
2009-05-31,82.7
2009-06-30,78.7
2009-07-31,80.4
2009-08-31,81.4
2009-09-30,72.2
2009-10-31,82.4
2009-11-30,79.1
2009-12-31,84.7
