quarter,value
2008Q1,28325.0
2008Q2,23981.0
2008Q3,24791.0
2008Q4,21331.0
2009Q1,20793.0
2009Q2,17631.0
2009Q3,16249.0
2009Q4,14022.0
2010Q1,13116.0
2010Q2,12549.0
2010Q3,13821.0
2010Q4,13809.0
2011Q1,14626.0
2011Q2,14305.0
2011Q3,14104.0
2011Q4,13419.0
2012Q1,14976.0
2012Q2,14544.0
2012Q3,13370.0
2012Q4,13201.0
2013Q1,15287.0
2013Q2,15016.0
2013Q3,15477.0
2013Q4,14139.0
2014Q1,16133.0
2014Q2,16802.0
2014Q3,15400.0
2014Q4,15432.0
2015Q1,16775.0
2015Q2,16060.0
2015Q3,17230.0
2015Q4,18316.0
2016Q1,19283.0
2016Q2,20131.0
2016Q3,20178.0
2016Q4,19720.0
2017Q1,18780.0
2017Q2,19865.0
2017Q3,21470.0
2017Q4,23454.0
2018Q1,24367.0
2018Q2,23866.0
2018Q3,23632.0
2018Q4,26398.0
2019Q1,24258.0
2019Q2,21732.0
2019Q3,20463.0
2019Q4,19638.0
2020Q1,18106.0
2020Q2,15581.0
2020Q3,15893.0
2020Q4,14107.0
2021Q1,15546.0
2021Q2,17614.0
2021Q3,17931.0
2021Q4,18175.0
2022Q1,21352.0
2022Q2,20168.0
2022Q3,21111.0
2022Q4,18830.0
2023Q1,20632.0
2023Q2,20007.0
2023Q3,20253.0
2023Q4,21207.0
2024Q1,24166.0
2024Q2,23527.0
2024Q3,22934.0
2024Q4,21499.0
2025Q1,20331.0
2025Q2,19303.0
2025Q3,19335.0
2025Q4,18634.0
2026Q1,17662.0
