quarter,actual,dfm,rw,ar1
2010Q1,2.1,1.5799089879172863,2.1,1.2510334528507432
2010Q2,1.2,2.517719600435837,2.1,1.2807092692351207
2010Q3,1.2,1.359403034236159,1.2,1.3409678146305692
2010Q4,0.7,2.540863493981421,1.2,1.3368129321207292
2011Q1,0.2,1.472015268087968,0.7,1.353349113889532
2011Q2,0.7,0.9187710793870256,0.2,1.3520136855853684
2011Q3,0.5,1.3235325926376365,0.7,1.2993842309580121
2011Q4,0.8,1.1139384743585348,0.5,1.2889811002128255
2012Q1,0.3,0.47224469494745336,0.8,1.2577377089706743
2012Q2,0.2,1.0736905185129384,0.3,1.2606628859138451
2012Q3,0.1,0.9592468382406812,0.2,1.2352505920281514
2012Q4,-0.1,-0.6122703961962697,0.1,1.2069136579977078
2013Q1,0.0,0.16225998991675272,-0.1,1.176295451697782
2013Q2,0.3,1.6029486939920583,0.0,1.137355640526083
2013Q3,0.5,0.5925009938967114,0.3,1.1060896089490948
2013Q4,0.6,0.45578584875485706,0.5,1.0865741640998148
2014Q1,0.6,0.913801844687592,0.6,1.0733458498690267
2014Q2,0.8,1.2704467926642828,0.6,1.0629785530806848
2014Q3,1.0,1.5319125733253594,0.8,1.053548055257251
2014Q4,1.1,1.4631229289417582,1.0,1.048680548527477
2015Q1,1.9,0.8699287703017324,1.1,1.0477957819408534
2015Q2,1.2,0.7272997519182081,1.9,1.0492995265304133
2015Q3,1.2,2.4408933332543774,1.2,1.0652816139552763
2015Q4,0.7,1.0929716580012168,1.2,1.067791155756225
2016Q1,0.0,1.2696167427845375,0.7,1.0701301688625544
2016Q2,0.2,1.5686776697810918,0.0,1.061634461264053
2016Q3,0.4,-0.10743571147938868,0.2,1.0394167624514068
2016Q4,0.6,1.3969987958143322,0.4,1.0244054569716368
2017Q1,0.7,0.9498813039155773,0.6,1.014907176357008
2017Q2,0.9,1.547747395702506,0.7,1.0087160357953973
2017Q3,0.8,1.333197957600761,0.9,1.0055589433828942
2017Q4,1.2,0.6177827886090275,0.8,1.002886335549563
2018Q1,1.0,0.35376652897767136,1.2,1.0033643395301872
2018Q2,1.2,0.5170783115054709,1.0,1.004655978056388
2018Q3,1.0,0.12031092178217007,1.2,1.006317289751642
2018Q4,0.5,0.5555694760955403,1.0,1.0075655657524496
2019Q1,0.7,1.0576678373947581,0.5,1.0033552172004725
2019Q2,0.2,0.4058777091014961,0.7,0.9973236690584024
2019Q3,0.3,0.12603520866493767,0.2,0.9878176779026224
2019Q4,0.6,0.670829319718445,0.3,0.9756564192663001
2020Q1,-2.3,1.930131586964353,0.6,0.9692858373647758
2020Q2,-7.7,-12.36320053515788,-2.3,0.9062542807241837
2020Q3,9.9,7.3329491254919175,-7.7,-0.40296326961213047
2020Q4,0.8,1.6180596870622872,9.9,-0.6579111331158747
2021Q1,1.1,0.7561790916480736,0.8,0.9434066426391653
2021Q2,1.0,0.8907311268362345,1.1,0.9040676455059804
2021Q3,0.6,1.6585480457708188,1.0,0.9191191032369408
2021Q4,0.3,1.0973836180876813,0.6,0.9702384562920312
2022Q1,-0.3,1.5735381941452447,0.3,1.0027989863903368
2022Q2,-0.3,0.25044260963500187,-0.3,1.0663071436568126
2022Q3,0.2,0.1952250590769098,-0.3,1.0440389441239442
2022Q4,0.4,0.24894613343271466,0.2,0.9665132697760034
2023Q1,0.6,0.8393883730054084,0.4,0.9335954201455077
2023Q2,0.9,-0.3285676025750144,0.6,0.9041228920948018
2023Q3,0.8,-0.30872604942886794,0.9,0.8661235207482819
2023Q4,0.5,0.613274183861699,0.8,0.8780050794931741
2024Q1,0.6,0.23203228352991334,0.5,0.9115878283073394
2024Q2,0.3,0.9803268855878813,0.6,0.8953229222247968
2024Q3,0.1,0.5375462953079032,0.3,0.9262391966640298
2024Q4,0.3,0.5657720116454736,0.1,0.941263413510803
2025Q1,0.1,0.6594450577028776,0.3,0.9086160728520127
2025Q2,0.2,0.6035768643297772,0.1,0.923583414693316
2025Q3,0.3,0.6472420141737979,0.2,0.902699539822801
2025Q4,0.2,0.6517665127470398,0.3,0.8837002413289203
2026Q1,0.2,0.24149226067108398,0.2,0.8878599280746483
