date,ip_total,ip_manuf,retail_vol,construction,exports_vol,imports_vol,unemp_rate,services_iaf,services_H,services_J,services_N,real_wage_bill,hicp,esi_sk,ind_conf_sk,cons_conf_sk,esi_de,esi_ea,bond_10y,eur_usd
2013-01,-8.38915792551618e-31,-1.0286564933234942e-30,-4.8048005185643294e-31,-1.129139821570464e-31,-8.121369386220256e-31,-1.1154938807329606e-30,4.627842643575176e-31,-3.4538354650793854e-31,-6.026698984750333e-31,-5.252698392485977e-32,-2.272435993661533e-31,-3.5676378368901736e-31,3.865985710706199e-33,-5.908557369051467e-31,-5.948794995869376e-31,-1.9646469426976999e-31,-4.422441316647948e-31,-4.919234221233913e-31,1.9317321324600627e-31,1.3081455044432734e-32
2013-02,-7.255989348155722e-33,-7.490578346667191e-33,-5.51144278275688e-33,-3.5628774283578715e-33,2.0822527001016763e-33,-1.6868502443604063e-33,-2.664739212350785e-32,6.526277167981817e-33,-1.1904120576852962e-32,-2.5118995705683353e-33,8.680021674102901e-34,1.6099478863061586e-31,-1.8789901242480436e-34,1.3366897783188297e-31,4.0283912680964027e-32,1.6791913028218586e-31,7.740950621594969e-31,6.084062732045467e-31,-7.127151908041806e-33,-4.736372462426102e-34
2013-03,-1.24808425230827e-31,-1.3374230121385707e-31,-9.277452674410149e-32,-4.4875428300752004e-32,-3.9487248647036173e-32,-8.84684191523073e-32,-1.7022979402587342e-31,2.2619751386872497e-32,-1.602535370223628e-31,-2.922129128829178e-32,-1.563673469847626e-32,1.1279211102904668e-30,-1.1144423891079198e-33,9.314221201046073e-31,2.616614115310465e-31,1.1777783685612944e-30,5.4333718205092375e-30,4.2693866635903975e-30,-3.8679923458993805e-32,-2.5120440065456805e-33
2013-04,-7.8546504696343595e-31,-8.56955132030061e-31,-5.775491928998993e-31,-2.3128332100137073e-31,-4.831745896201829e-31,-7.420373193155895e-31,-1.7343963913367554e-31,-1.369798291277381e-31,-8.698403048367122e-31,-1.4031830984389888e-31,-1.9366306165363672e-31,1.983641544003943e-30,-4.146824864740279e-34,1.599382914794383e-30,3.0282943463991743e-31,2.08161980298762e-30,9.632801475838367e-30,7.56141940722949e-30,1.8067596443113813e-32,1.750617403413873e-33
2013-05,-2.2459561342924116e-30,-2.473407290946751e-30,-1.641914682878185e-30,-5.841815552074664e-31,-1.73564399422567e-30,-2.4013119743715512e-30,8.587513168004405e-31,-8.131281097274135e-31,-2.277962732837824e-30,-3.3547096184412364e-31,-6.974770731248476e-31,-2.044958351910077e-30,8.770435436497471e-33,-1.8576667415350767e-30,-1.1617162205611377e-30,-2.090377664251206e-30,-9.513264240074946e-30,-7.509135602057437e-30,4.461950328748193e-31,3.149928831663028e-32
2013-06,-2.6938102785446193e-30,-2.9822897451646396e-30,-1.9628367355860885e-30,-6.481708207723147e-31,-2.3226712323605946e-30,-3.070364188647172e-30,1.951839380311112e-30,-1.2620611340484382e-30,-2.589802694302912e-30,-3.5761998751171497e-31,-9.343556326368557e-31,-7.704058390691038e-30,1.7294380925769524e-32,-6.604282880400958e-30,-2.773147014264772e-30,-7.980087135328692e-30,-3.662735419900885e-29,-2.882932664637849e-29,8.036439288841676e-31,5.580901082281511e-32
2013-07,5.4655301189129765e-31,5.6021751010824785e-31,4.168031027407667e-31,2.8178917188151233e-31,-2.184209326106183e-31,7.844535240817208e-32,2.242801737519731e-30,-5.648850712289481e-31,9.33063885570834e-31,2.0064320661802444e-31,-9.037671315128123e-32,-1.3468951072256146e-29,1.5884931291906245e-32,-1.1186986341879599e-29,-3.38700062211145e-30,-1.4047146581841035e-29,-6.475314321228338e-29,-5.089408715455778e-29,6.054644675738725e-31,4.028413178544344e-32
2013-08,9.446397292311178e-30,1.0393439550632307e-29,6.909798577986638e-30,2.489224893785925e-30,7.152355946487297e-30,9.983213942575911e-30,-3.04678335093908e-30,3.2441810359805615e-30,9.668303985252362e-30,1.438405522718765e-30,2.8736094192382033e-30,5.38197365436628e-30,-3.2734994948398547e-32,5.130687474161261e-30,4.040332250477927e-30,5.4371947798094864e-30,2.4554438826231473e-29,1.9431815025933871e-29,-1.7121034935381007e-30,-1.2143323677545164e-31
2013-09,1.566676911467107e-29,1.7301552818944454e-29,1.1433317413476141e-29,3.913577056127418e-30,1.2847803321376008e-29,1.7335286540397017e-29,-8.82446524151571e-30,6.553746753153541e-30,1.545223757282019e-29,2.2025239521084872e-30,5.1659621682675154e-30,3.040979582261038e-29,-8.200841779651306e-32,2.6412743277246556e-29,1.2345707653625065e-29,3.140777935646747e-29,1.4388967756179294e-28,1.1332522352733269e-28,-3.937876346804334e-30,-2.7515334001465395e-31
2013-10,7.356173951120112e-30,8.251784437168845e-30,5.315445628820283e-30,1.4087895773051088e-30,8.00038249457975e-30,9.693238865098893e-30,-1.1672701376599433e-29,5.419634119143598e-30,6.0924105033300146e-30,6.687115775347668e-31,3.22440022663463e-30,5.716916139414366e-29,-9.384213550578847e-32,4.814464613003121e-29,1.7066239556728899e-29,5.944729998213787e-29,2.7352427325355008e-28,2.151150176579104e-28,-4.041781671711661e-30,-2.764453977077947e-31
