,loading,sigma2,abs_loading
ip_total,-0.6047313809061645,0.6075369453711214,0.6047313809061645
ip_manuf,-0.5939814677266433,0.6212286183318496,0.5939814677266433
retail_vol,-0.3761003686843732,0.8460442253171642,0.3761003686843732
construction,-0.16375879201784435,0.9680412044054822,0.16375879201784435
exports_vol,-0.7170135132987161,0.44604455132680587,0.7170135132987161
imports_vol,-0.6645259478192106,0.5237559290150184,0.6645259478192106
unemp_rate,0.15892059825185617,0.9696941716614335,0.15892059825185617
ip_de,-0.9070213712354095,0.12141358428599444,0.9070213712354095
ip_de_auto,-0.8592932628508546,0.21109366810995905,0.8592932628508546
ip_ea,-0.9072490865572022,0.12098682414888724,0.9072490865572022
esi_sk,-0.13979392686537906,0.9758013756543237,0.13979392686537906
ind_conf_sk,-0.24429529480256723,0.9331211745139011,0.24429529480256723
cons_conf_sk,0.03445036172118075,0.9953250858338034,0.03445036172118075
esi_de,-0.12488703986466218,0.9800032537734946,0.12488703986466218
esi_ea,-0.1391549257384361,0.9756450837924286,0.1391549257384361
bond_10y,0.1586455785008114,0.9698071866051419,0.1586455785008114
eur_usd,-0.058598595829290834,0.9929373463647032,0.058598595829290834
gdp,-0.5481086859607986,0.3620894612030457,0.5481086859607986
