data,period,bias_2025,rmse_2025,bias_val,rmse_val,bias_norm,rmse_norm
winner_base (no new data),2013+,0.093,0.224,0.024,0.679,0.027,0.355
winner_base (no new data),2016+,0.055,0.212,-0.011,0.676,-0.249,0.397
winner + wage_bill,2013+,0.029,0.055,-0.438,0.904,0.174,0.376
winner + wage_bill,2016+,-0.058,0.084,-0.528,0.955,-0.23,0.302
winner + new services,2013+,0.022,0.197,0.013,0.648,0.012,0.352
winner + new services,2016+,0.012,0.192,-0.001,0.63,-0.241,0.391
winner + all new data,2013+,0.134,0.138,-0.076,0.588,0.093,0.343
winner + all new data,2016+,0.062,0.072,-0.15,0.615,-0.23,0.349
full + all new data,2013+,0.002,0.196,-0.068,0.661,0.029,0.403
full + all new data,2016+,-0.032,0.175,-0.086,0.632,-0.241,0.401
domestic+income,2013+,0.182,0.192,-0.086,0.592,0.157,0.378
domestic+income,2016+,0.096,0.116,-0.169,0.609,-0.208,0.341
