date,live_q,nowcast
2024-04-05,2024Q1,0.2313785760950237
2024-04-12,2024Q1,0.27377601853586087
2024-04-19,2024Q1,0.2932610409866993
2024-04-26,2024Q1,0.3059386300590193
2024-05-03,2024Q1,0.28145311138054735
2024-05-10,2024Q1,0.28080978366943776
2024-05-17,2024Q1,0.2806601319967912
2024-05-24,2024Q1,0.2806601319967912
2024-05-31,2024Q1,0.4880734798274724
2024-06-07,2024Q1,0.4882348601835832
2024-06-14,2024Q1,0.4861050413500373
2024-06-21,2024Q1,0.48610616534751966
2024-06-28,2024Q1,0.48621507209288295
2024-07-05,2024Q2,0.629632631642831
2024-07-12,2024Q2,0.61588989713193
2024-07-19,2024Q2,0.6167263285074858
2024-07-26,2024Q2,0.6082305713745354
2024-08-02,2024Q2,0.7214985092727644
2024-08-09,2024Q2,0.7212343700272672
2024-08-16,2024Q2,0.7212795622248872
2024-08-23,2024Q2,0.7212775576335198
2024-08-30,2024Q2,0.7202674040805881
2024-09-06,2024Q2,0.6579022520486927
2024-09-13,2024Q2,0.6587835479767429
2024-09-20,2024Q2,0.6588127239735938
2024-09-27,2024Q2,0.6589184032927353
2024-10-04,2024Q3,0.637971213641775
2024-10-11,2024Q3,0.6753683785316639
2024-10-18,2024Q3,0.6624813606382365
2024-10-25,2024Q3,0.6499478752319439
2024-11-01,2024Q3,0.6487283117258895
2024-11-08,2024Q3,0.6488177222200414
2024-11-15,2024Q3,0.6488910485205901
2024-11-22,2024Q3,0.6488868725935305
2024-11-29,2024Q3,0.6492993127463849
2024-12-06,2024Q3,0.6081050478137734
2024-12-13,2024Q3,0.6080472852570445
2024-12-20,2024Q3,0.6073876991607302
2024-12-27,2024Q3,0.6075868380806974
2025-01-03,2024Q4,0.27112028857153264
2025-01-10,2024Q4,0.26219803334908276
2025-01-17,2024Q4,0.28819674900952963
2025-01-24,2024Q4,0.28504619525503605
2025-01-31,2024Q4,0.32490660293109164
2025-02-07,2024Q4,0.32462944877354505
2025-02-14,2024Q4,0.326517895277753
2025-02-21,2024Q4,0.3264925545570485
2025-02-28,2024Q4,0.39102975161394127
2025-03-07,2024Q4,0.39113412718265717
2025-03-14,2024Q4,0.3951178705837782
2025-03-21,2024Q4,0.39512193992872646
2025-03-28,2024Q4,0.3949599443880788
