date,live_q,nowcast
2025-04-04,2025Q1,1.1346902558148875
2025-04-11,2025Q1,1.0807869493743247
2025-04-18,2025Q1,1.1368536657596626
2025-04-25,2025Q1,1.1368536657596626
2025-05-02,2025Q1,0.9510034203902001
2025-05-09,2025Q1,0.9510101896825697
2025-05-16,2025Q1,0.9453761565644129
2025-05-23,2025Q1,0.9453761565644129
2025-05-30,2025Q1,0.9452544391753144
2025-06-06,2025Q1,0.9139466707411938
2025-06-13,2025Q1,0.9187441832900793
2025-06-20,2025Q1,0.924088582651569
2025-06-27,2025Q1,0.924088582651569
2025-07-04,2025Q2,0.4249114780122289
2025-07-11,2025Q2,0.6084331691503824
2025-07-18,2025Q2,0.668284578587276
2025-07-25,2025Q2,0.668284578587276
2025-08-01,2025Q2,0.7216790283256985
2025-08-08,2025Q2,0.7216676174003186
2025-08-15,2025Q2,0.7228305206062089
2025-08-22,2025Q2,0.7228305206062089
2025-08-29,2025Q2,0.7228305206062089
2025-09-05,2025Q2,0.6880948952081
2025-09-12,2025Q2,0.6877600884318151
2025-09-19,2025Q2,0.6878372879514197
2025-09-26,2025Q2,0.6878372879514197
2025-10-03,2025Q3,0.7436935808287881
2025-10-10,2025Q3,0.23093381386253775
2025-10-17,2025Q3,0.2693280529573967
2025-10-24,2025Q3,0.2693280529573967
2025-10-31,2025Q3,0.28354812590703427
2025-11-07,2025Q3,0.28352329217575567
2025-11-14,2025Q3,0.2809018538444459
2025-11-21,2025Q3,0.2809018538444459
2025-11-28,2025Q3,0.2809018538444459
2025-12-05,2025Q3,0.31228551320695214
2025-12-12,2025Q3,0.31266159347028283
2025-12-19,2025Q3,0.3122202920954635
2025-12-26,2025Q3,0.3122202920954635
2026-01-02,2025Q4,0.7547238988296422
2026-01-09,2025Q4,1.0559801769101334
2026-01-16,2025Q4,1.0462694797223961
2026-01-23,2025Q4,1.0462694797223961
2026-01-30,2025Q4,1.0462234369437118
2026-02-06,2025Q4,0.954942288932105
2026-02-13,2025Q4,0.9583529198782714
2026-02-20,2025Q4,0.9587964592537527
2026-02-27,2025Q4,0.9587964592537527
2026-03-06,2025Q4,0.9652481321425268
2026-03-13,2025Q4,0.9660659248634231
2026-03-20,2025Q4,0.9671845964447168
2026-03-27,2025Q4,0.9671845964447168
